Particulars,Unnamed: 1,0 day to 7 days,8 days to 14 days,15 days to 30/31 days (One month),Over one month and upto 2 months,Over two months and upto 3 months,Over 3 months and upto 6 months, Over 6 months and upto 1 year,Over 1 year and upto 3 years,Over 3 years and upto 5 years,Over  5 years ,Total,Unnamed: 13,Unnamed: 14,Unnamed: 15,0 day to 7 days.1,8 days to 14 days.1,15 days to 30/31 days (One month).1
,,,,,,,,,,,,,,,,,,
,,X010,X020,X030,X040,X050,X060,X070,X080,X090,X100,X110,,,,X010,X020,X030
,,,,,,,,,,,,,,,,,,
A. OUTFLOWS,,,,,,,,,,,,,,,,,,
1.Capital (i+ii+iii+iv) ,Y010,0,0,0,0,0,0,0,0,0,12733.83,12733.83,,,,0,0,0
(i) Equity Capital,Y020,0,0,0,0,0,0,0,0,0,12733.83,12733.83,,,,0,0,0
(ii) Perpetual / Non Redeemable Preference Shares       ,Y030,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
(iii)) Non-Perpetual / Redeemable Preference Shares,Y040,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
(iv) Others,Y050,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
2.Reserves & Surplus (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xii+xiii),Y060,0,0,0,0,0,0,0,0,0,46841.21,46841.21,,,,0,0,0
(i) Share Premium Account,Y070,0,0,0,0,0,0,0,0,0,32222.7,32222.7,,,,0,0,0
(ii) General Reserves,Y080,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
(iii) Statutory/Special Reserve (Section 45-IC reserve to be shown separately below item no.(vii)),Y090,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
(iv) Reserves under Sec 45-IC of RBI Act 1934,Y100,0,0,0,0,0,0,0,0,0,3085.19,3085.19,,,,0,0,0
(v) Capital Redemption Reserve,Y110,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
(vi) Debenture Redemption Reserve,Y120,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
(vii) Other Capital Reserves,Y130,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
(viii) Other Revenue Reserves,Y140,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
(ix) Investment Fluctuation Reserves/ Investment Reserves,Y150,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
(x) Revaluation Reserves (a+b),Y160,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
          (a) Revl. Reserves - Property,Y170,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
          (b) Revl. Reserves - Financial Assets,Y180,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
(xi) Share Application Money Pending Allotment,Y190,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
(xii) Others (Please mention),Y200,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
(xiii) Balance of profit and loss account,Y210,0,0,0,0,0,0,0,0,0,11533.32,11533.32,,,,0,0,0
"3.Gifts, Grants, Donations & Benefactions",Y220,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
4.Bonds & Notes (i+ii+iii),Y230,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
(i) Plain Vanilla Bonds (As per residual maturity of the instruments),Y240,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
(ii) Bonds with embedded call / put options including zero coupon / deep discount bonds ( As per residual period for the earliest exercise date for the embedded option),Y250,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
(iii) Fixed Rate Notes,Y260,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
5.Deposits (i+ii),Y270,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
(i) Term Deposits from Public ,Y280,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
(ii) Others,Y290,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
6.Borrowings (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv),Y300,2445.0225377940933,3728.990527338535,4400.199873654829,16693.44500306027,9482.769847984473,36412.850415258465,51719.731281103144,69476.74051380617,0,0,194359.75,,,,1169.883033691308,4081.7184365484513,4596.228436548451
(i) Bank Borrowings (a+b+c+d+e+f),Y310,1143.6225377940932,294.30253779409327,1708.1025377940932,3212.996698497836,3162.4524498376036,9877.662537794093,16064.365075588183,14906.765624900005,0,0,50370.27,,,100000.0,659.4034164888878,-18.206583511112115,1182.6634164888878
"a) Bank Borrowings in the nature of Term Money Borrowings 
(As per residual maturity)",Y320,1143.6225377940932,294.30253779409327,1708.1025377940932,3212.996698497836,3162.4524498376036,9877.662537794093,16064.365075588183,14906.765624900005,0,0,50370.27,,,,659.4034164888878,-18.206583511112115,1182.6634164888878
b) Bank Borrowings in the nature of WCDL,Y330,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
"c) Bank Borrowings in the nature of Cash Credit (CC)
",Y340,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
d) Bank Borrowings in the nature of Letter of Credit (LCs),Y350,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
e) Bank Borrowings in the nature of ECBs,Y360,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
f) Other bank borrowings,Y370,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
"(ii) Inter Corporate Deposits (Other than Related Parties) 
(These being institutional / wholesale deposits, shall be slotted as per their residual maturity)",Y380,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
(iii) Loans from Related Parties (including ICDs),Y390,0,0,0,0,0,3500,0,0,0,0,3500,,,,0,0,0
(iv) Corporate Debts,Y400,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
(v) Borrowings from Central Government / State Government,Y410,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
(vi) Borrowings from RBI ,Y420,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0
(vii) Borrowings from Public Sector Undertakings (PSUs),Y430,0,0,0,0,0,0,0,0,0,0,0,,,100000.0,0,0,0
(viii) Borrowings from Others (Please specify),Y440,1301.4,1668.52644215833,1866.2673358607358,6053.45342384299,5800.822517427425,15274.203235306039,22633.396921198295,18540.310124206186,0,0,73138.38,,,,510.47961720242006,1945.3296172024202,2391.46961720242
