Table 3: Statement of Interest Rate Sensitivity (IRS),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Particulars,,0 day to 7 days,8 days to 14 days, 15 days to 30/31 days (One month),Over one month and upto 2 months,Over two months and upto 3 months,Over 3 months and upto 6 months,Over 6 months and upto 1 year,Over 1 year and upto 3 years,Over 3 years and upto 5 years,Over 5 years ,Non-sensitive,Total,,,
,,X010,X020,X030,X040,X050,X060,X070,X080,X090,X100,X110,X120,,,
,,,,,,,,,,,,,,,,
A. Liabilities (OUTFLOW),,,,,,,,,,,,,,,,
1.Capital (i+ii+iii+iv) ,Y010,0,0,0,0,0,0,0,0,0,0,12733.83,12733.83,,,
(i) Equity ,Y020,0,0,0,0,0,0,0,0,0,0,12733.83,12733.83,,,
(ii) Perpetual preference shares       ,Y030,0,0,0,0,0,0,0,0,0,0,0,0,,,
(iii) Non-perpetual preference shares,Y040,0,0,0,0,0,0,0,0,0,0,0,0,,,
"(iv) Others (Please furnish, if any)",Y050,0,0,0,0,0,0,0,0,0,0,0,0,,,
2.Reserves & surplus (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xii+xiii),Y060,0,0,0,0,0,0,0,0,0,0,46841.21,46841.21,,,
(i) Share Premium Account,Y070,0,0,0,0,0,0,0,0,0,0,32222.7,32222.7,,,
(ii) General Reserves,Y080,0,0,0,0,0,0,0,0,0,0,0,0,,,
(iii) Statutory/Special Reserve (Section 45-IC reserve to be shown separately below item no.(vii)),Y090,0,0,0,0,0,0,0,0,0,0,0,0,,,
(iv) Reserves under Sec 45-IC of RBI Act 1934,Y100,0,0,0,0,0,0,0,0,0,0,3085.19,3085.19,,,
(v) Capital Redemption Reserve,Y110,0,0,0,0,0,0,0,0,0,0,0,0,,,
(vi) Debenture Redemption Reserve,Y120,0,0,0,0,0,0,0,0,0,0,0,0,,,
(vii) Other Capital Reserves,Y130,0,0,0,0,0,0,0,0,0,0,0,0,,,
(viii) Other Revenue Reserves,Y140,0,0,0,0,0,0,0,0,0,0,0,0,,,
(ix) Investment Fluctuation Reserves/ Investment Reserves,Y150,0,0,0,0,0,0,0,0,0,0,0,0,,,
(x) Revaluation Reserves,Y160,0,0,0,0,0,0,0,0,0,0,0,0,,,
          viii.1 Revl. Reserves - Property,Y170,0,0,0,0,0,0,0,0,0,0,0,0,,,
          viii.2 Revl. Reserves - Financial Assets,Y180,0,0,0,0,0,0,0,0,0,0,0,0,,,
(xi) Share Application Money Pending Allotment,Y190,0,0,0,0,0,0,0,0,0,0,0,0,,,
(xii) Others (Please mention),Y200,0,0,0,0,0,0,0,0,0,0,0,0,,,
(xiii) Balance of profit and loss account,Y210,0,0,0,0,0,0,0,0,0,0,11533.32,11533.32,,,
"3.Gifts, grants, donations & benefactions",Y220,0,0,0,0,0,0,0,0,0,0,0,0,,,
4.Bonds & Notes (a+b+c),Y230,0,0,0,0,0,0,0,0,0,0,0,0,,,
a) Fixed rate plain vanilla including zero coupons,Y240,0,0,0,0,0,0,0,0,0,0,0,0,,,
b) Instruments with embedded options,Y250,0,0,0,0,0,0,0,0,0,0,0,0,,,
c) Floating rate instruments,Y260,0,0,0,0,0,0,0,0,0,0,0,0,,,
5.Deposits,Y270,0,0,0,0,0,0,0,0,0,0,0,0,,,
(i) Term Deposits/ Fixed Deposits from public ,Y280,0,0,0,0,0,0,0,0,0,0,0,0,,,
(a) Fixed rate,Y290,0,0,0,0,0,0,0,0,0,0,0,0,,,
(b)Floating rate,Y300,0,0,0,0,0,0,0,0,0,0,0,0,,,
