Keertana Finserv Private Limited ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
Portfolio Cuts as on 30 Apr 2024,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Branchwise Break-up ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
SN,Branch Code,Branch,District,State,Branch Classification Rural / Urban,Number of ActiveLoans,"Principal Outstanding of Active Loans
(In Crs)",Standard Portfolio with 0 DPD,No of loans in arrears,No of loans written off,"Written off value in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30 DPD Loans Outstanding ,31-60 DPD Loans Oustatnding,61-90 DPD Loans Oustatnding,91 to 120 DPD Loans Oustatnding,121-150 DPD Loans Outstanding,151-180 DPD Loans Outstanding,181-365 DPD Loans Outstanding,>365 DPD Loans Ousttanding,PAR >0 days,% of  PAR >0 days,PAR >90days,% of PAR >90 days,,
1,SRJLG0012,KD Peta,Visakhapatnam,Andhra Pradesh,Rural,1759,5.18338558799997,5.18338558799997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,APKL0033,Addanki_KL,Bapatla,Andhra Pradesh,Rural,1490,9.2661395,9.2661395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,APJLG0244,Amaravathi_JLG,Palnadu,Andhra Pradesh,Rural,2951,11.905149691,11.905149691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,APJLG0288,Anandapuram_JLG,Visakhapatnam,Andhra Pradesh,Rural,345,1.7082620929999999,1.7082620929999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,APKL0019,Anantapur_KL,Anantapur,Andhra Pradesh,Urban,1226,10.6994519,10.6994519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,APKL0050,Annavaram_KL,Kakinada,Andhra Pradesh,Rural,734,3.8978233,3.8978233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,APMP0095,Annavaram_LH,Kakinada,Andhra Pradesh,Rural,329,1.629769338,1.5987093510000001,4,0,0,0.031059987,0.020858714,0.010201273,0,0,0,0,0,0,0.031059987,0.019057903640594814,0,0,,
8,APJLG0271,Atchutapuram_JLG,Anakapalle,Andhra Pradesh,Rural,1044,4.82187321199999,4.80141120099999,4,0,0,0.020462011,0.015174011,0.005288,0,0,0,0,0,0,0.020462011,0.004243581301365839,0,0,,
9,APKL0059,Atmakur_KL,Nandyal,Andhra Pradesh,Rural,1309,7.2602491,7.2602491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
10,APJLG0198,Attili_JLG,West Godavari,Andhra Pradesh,Rural,1748,6.347556734,6.332681760000001,3,0,0,0.014874974,0,0,0.014874974,0,0,0,0,0,0.014874974,0.0023434172585372593,0,0,,
11,APJLG0225,Bapatla_JLG,Bapatla,Andhra Pradesh,Urban,3518,10.472300959,10.434114115,12,0,0,0.038186844000000005,0.008558098,0.002096829,0.013418882,0.014113035000000001,0,0,0,0,0.038186844000000005,0.003646461665827303,0.014113035000000001,0.0013476536871174542,,
12,APMP0158,Bapatla_LH,Bapatla,Andhra Pradesh,Urban,414,4.846648793,4.793044471,1,0,0,0.053604321999999996,0,0,0,0,0,0.053604321999999996,0,0,0.053604321999999996,0.011060079714754771,0.053604321999999996,0.011060079714754771,,
13,APKL0006,Chittoor_KL,Chittoor,Andhra Pradesh,Urban,1537,8.5064758,8.5064758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
14,APJLG0330,Dwarapudi_JLG,East Godavari,Andhra Pradesh,Rural,1409,5.200763965999999,5.200763965999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
15,APKL0167,Gorantla_KL ,Sri Sathya Sai,Andhra Pradesh,Rural,1567,11.864163,11.864163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
16,TSJLG0223,Huzurnagar_JLG,Suryapet,Telangana,Rural,2020,6.44433215,6.341408573,37,0,0,0.10292357700000002,0.068908514,0.021703988,0.008914447,0.003396628,0,0,0,0,0.10292357700000002,0.01597117817709008,0.003396628,0.0005270721497494508,,
17,APJLG0235,Ibrahimpatnam_JLG,NTR,Andhra Pradesh,Rural,3171,12.366296964,12.317836335,12,0,0,0.048460629,0.028408925,0.011736667999999999,0.004106169000000001,0.004208867,0,0,0,0,0.048460629,0.003918766397174157,0.004208867,0.0003403498243857958,,
18,APKL0088,Jammalamadugu_KL,Kadapa,Andhra Pradesh,Rural,1184,8.629691,8.629691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
19,APJLG0261,Kadiam_JLG,East Godavari,Andhra Pradesh,Rural,4198,9.81746281400002,9.79331602500002,9,0,0,0.024146789000000002,0.018391763000000002,0.003121471,0.002633555,0,0,0,0,0,0.024146789000000002,0.0024595752953162093,0,0,,
20,APKL0057,Kalyanadurgam_KL,Anantapur,Andhra Pradesh,Rural,1465,10.9894344,10.9894344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
21,APKL0065,Kandukur_KL,Nellore,Andhra Pradesh,Rural,1046,6.591754979999999,6.591754979999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
22,APKL0074,Kanigiri_KL,Prakasam,Andhra Pradesh,Rural,848,6.140633,6.140633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
23,APKL0124,Kavali_KL,Nellore,Andhra Pradesh,Rural,851,5.5353775,5.5353775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
24,APJLG0184,Kesarapalli_JLG,Krishna,Andhra Pradesh,Rural,2647,8.69004584699997,8.67472086399997,4,0,0,0.015324983,0.011709957,0,0,0.0036150260000000004,0,0,0,0,0.015324983,0.0017635100285794906,0.0036150260000000004,0.00041599619422583384,,
25,APKL0040,Kolluru_KL,Bapatla,Andhra Pradesh,Rural,1310,5.6826804,5.6826804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
26,APJLG0274,Kothavalasa_JLG,Vizianagaram,Andhra Pradesh,Rural,540,2.6541573670000003,2.6541573670000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
27,APKL0107,Kotturu_KL,Srikakulam,Andhra Pradesh,Rural,1119,7.9870856,7.9870856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
28,APKL0137,Kovur_KL,Nellore,Andhra Pradesh,Rural,854,4.8358165,4.8358165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
29,APKL0109,Krishnalanka_KL,Krishna,Andhra Pradesh,Rural,822,5.1775147,5.1775147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
30,TSJLG0246,Mudigonda_JLG,Khammam,Telangana,Rural,3066,12.759539991,12.759539991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
31,APKL0079,Achampet_KL,Palnadu,Andhra Pradesh,Rural,710,2.4088654,2.4088654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
