Keertana Finserv Private Limited ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Portfolio Cuts as on 31 Aug 2024,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Branchwise Break-up ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
SN,Branch Code,Branch Name,District,State,Branch Classification Rural / Urban,Number of Active Loans,"Principal Outstanding of Active Loans
(In Crs)",Standard Portfolio with 0 DPD,No of loans in arrears,No of loans written off,"Write offs in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30 DPD Loans Outstanding ,31-60 DPD Loans Oustatnding,61-90 DPD Loans Oustatnding,91 to 120 DPD Loans Oustatnding,121-150 DPD Loans Outstanding,151-180 DPD Loans Outstanding,181-365 DPD Loans Outstanding,>365 DPD Loans Ousttanding,PAR >0 days,% of  PAR >0 days,PAR >90days,% of PAR >90 days
1,APJLG0266,P.Gannavaram_JLG,Ambedkar konaseem,Andhra Pradesh,Rural,2298,8.31694491399996,8.30542829399996,3,0,0,0.01151662,0.01151662,0,0,0,0,0,0,0,0.01151662,0.0013847175999222995,0,0
2,APJLG0271,Atchutapuram_JLG,Anakapalli,Andhra Pradesh,Rural,1149,4.297504965899989,4.211632524899989,18,0,0,0.085872441,0.031020075,0,0.034416617,0.005089643,0.010058105999999999,0,0.005288,0,0.085872441,0.019981929440776453,0.020435749,0.004755258961223869
3,APJLG0272,Chodavaram_JLG,Anakapalli,Andhra Pradesh,Rural,2068,7.84257783799998,7.84257783799998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,APJLG0349,Narsipatnam_JLG,Anakapalli,Andhra Pradesh,Rural,521,2.024127646,2.024127646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,APKL0094,Narsipatnam_KL,Anakapalli,Andhra Pradesh,Rural,1178,4.8815438,4.8579646,4,0,0,0.0235792,0,0.0235792,0,0,0,0,0,0,0.0235792,0.004830275209248353,0,0
6,APKL0174,Anakapalli_KL,Anakapalli,Andhra Pradesh,Urban,701,4.976516,4.9143082,10,0,0,0.0622078,0,0.0622078,0,0,0,0,0,0,0.0622078,0.012500271274120288,0,0
7,APMP0096,Narsipatnam_LH,Anakapalli,Andhra Pradesh,Rural,338,4.191995046,4.1740860689999995,4,0,0,0.017908977,0,0.008039375999999999,0,0.004702901999999999,0,0,0.005166698999999999,0,0.017908977,0.004272184676622826,0.009869600999999999,0.0023543923338882685
8,APMP0157,Anakapalli_LH,Anakapalli,Andhra Pradesh,Urban,157,2.873638198,2.86363669,2,0,0,0.010001508,0,0.003250663,0,0,0.006750845,0,0,0,0.010001508,0.0034804339693705584,0.006750845,0.002349232761695075
9,APKL0019,Anantapur_KL,Anantapur,Andhra Pradesh,Urban,1486,11.8845777,11.469343499999999,33,0,0,0.4152342,0,0.4152342,0,0,0,0,0,0,0.4152342,0.03493891078687634,0,0
