Keertana Finserv Private Limited ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Portfolio Cuts as on 31 Dec 2024,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Branchwise Break-up ,,,,,,,,, ,,, ,,,,,,,,,,, ,
,,,,,,,,,,,,,,,,,,,,,,,,
SN,Branch Code,Branch Name,District,State,Branch Classification Rural / Urban,Number of Active Loans,"Principal Outstanding of Active Loans
(In Crs)",Standard Portfolio with 0 DPD,No of loans in arrears,No of loans written off,"Write offs in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30 DPD Loans Outstanding ,31-60 DPD Loans Oustatnding,61-90 DPD Loans Oustatnding,91 to 120 DPD Loans Oustatnding,121-150 DPD Loans Outstanding,151-180 DPD Loans Outstanding,181-365 DPD Loans Outstanding,>365 DPD Loans Ousttanding,PAR >0 days,% of  PAR >0 days,PAR >90days,% of PAR >90 days
1,APJLG0271,Atchutapuram_JLG,Anakapalli,Andhra Pradesh,Rural,1207,3.5858686479000204,3.3839227239000205,54,0,0,0.20194592400000003,0.09332368399999999,0.037074858,0.04575147,0.025795912,0,0,0,0,0.20194592400000003,0.05631715598904185,0.025795912,0.0071937693576999175
2,APJLG0272,Chodavaram_JLG,Anakapalli,Andhra Pradesh,Rural,2271,6.858258982,6.8462175499999995,3,0,0,0.012041432,0.004405899,0,0.007635533,0,0,0,0,0,0.012041432,0.001755756385345554,0,0
3,APJLG0349,Narsipatnam_JLG,Anakapalli,Andhra Pradesh,Urban,614,1.922006644,1.922006644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,APKL0094,Narsipatnam_KL,Anakapalli,Andhra Pradesh,Urban,1468,6.1721638,6.1721638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,APKL0174,Anakapalli_KL,Anakapalli,Andhra Pradesh,Urban,839,6.5355486,6.530847700000001,4,0,0,0.0047009,0,0,0.0047009,0,0,0,0,0,0.0047009,0.0007192816223568439,0,0
6,APKL0383,Atchutapuram_KL,Anakapalli,Andhra Pradesh,Rural,401,2.6246663,2.6246663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,APKL0397,Addaroad_KL,Anakapalli,Andhra Pradesh,Rural,88,0.6880631,0.6880631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,APMP0096,Narsipatnam_LH,Anakapalli,Andhra Pradesh,Urban,257,3.952370289,3.9007226850000003,4,0,0,0.05164760399999999,0.041145196999999994,0.004909877,0,0,0.00559253,0,0,0,0.05164760399999999,0.013067501327935417,0.00559253,0.0014149812874478876
9,APMP0157,Anakapalli_LH,Anakapalli,Andhra Pradesh,Urban,142,2.9943131579999998,2.8559396649999997,8,0,0,0.13837349300000001,0.130484774,0.003998507,0,0.003890212,0,0,0,0,0.13837349300000001,0.046212097966541424,0.003890212,0.001299200115260623
10,APJLG0452,Rayadurgam_JLG,Anantapur,Andhra Pradesh,Urban,399,1.611061865,1.611061865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
