Keertana Finserv Private Limited ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
Portfolio Cuts as on 29th Feb 2024,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Branchwise,,,,,,,,,,,,,,,,,,,,
SN,Branch Code,Branch Name,District,State,Branch Classification,Number of Loans,"Total Principal Outstanding 
(In Crs)",Principal without overdues (In Crs),No of loans in arrears,No of loans written off,"Write offs in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30,31-60,61-90,91-120,121-150,151-180,181-365,>365
1,SRJLG0012,KD Peta,Visakhapatnam,Andhra Pradesh,Rural,1898,5.91921707399999,5.91921707399999,0,0,0,0,0,0,0,0,0,0,0,0
2,APKL0033,Addanki_KL,Bapatla,Andhra Pradesh,Urban,1487,7.0240864,7.0240864,0,0,0,0,0,0,0,0,0,0,0,0
3,APJLG0244,Amaravathi_JLG,Palnadu,Andhra Pradesh,Urban,2539,10.64178841,10.64178841,0,0,0,0,0,0,0,0,0,0,0,0
4,APJLG0288,Anandapuram_JLG,Visakhapatnam,Andhra Pradesh,Rural,198,1.003729256,1.003729256,0,0,0,0,0,0,0,0,0,0,0,0
5,APKL0019,Anantapur_KL,Anantapur,Andhra Pradesh,Urban,968,7.1194653,7.1194653,0,0,0,0,0,0,0,0,0,0,0,0
6,APKL0050,Annavaram_KL,Kakinada,Andhra Pradesh,Rural,572,2.2863689,2.2863689,0,0,0,0,0,0,0,0,0,0,0,0
7,APMP0095,Annavaram_LH,Kakinada,Andhra Pradesh,Rural,507,8.922256597,8.867683267,1,0,0,0.05457333,0.05457333,0,0,0,0,0,0,0
8,APJLG0271,Atchutapuram_JLG,Anakapalle,Andhra Pradesh,Rural,748,3.59341024499999,3.59341024499999,0,0,0,0,0,0,0,0,0,0,0,0
9,APKL0059,Atmakur_KL,Nandyal,Andhra Pradesh,Rural,1145,5.1278631,5.1278631,0,0,0,0,0,0,0,0,0,0,0,0
10,APJLG0198,Attili_JLG,West Godavari,Andhra Pradesh,Rural,1666,6.47622172599999,6.47622172599999,0,0,0,0,0,0,0,0,0,0,0,0
11,APJLG0225,Bapatla_JLG,Bapatla,Andhra Pradesh,Urban,3362,10.895388041,10.868310728,8,0,0,0.027077313,0.020831684,0.006245629,0,0,0,0,0,0
12,APMP0158,Bapatla_LH,Bapatla,Andhra Pradesh,Urban,396,4.600661521,4.547057199,1,0,0,0.053604321999999996,0,0,0,0.053604321999999996,0,0,0,0
13,APKL0006,Chittoor_KL,Chittoor,Andhra Pradesh,Urban,1306,6.7873448,6.7873448,0,0,0,0,0,0,0,0,0,0,0,0
14,APJLG0330,Dwarapudi_JLG,East Godavari,Andhra Pradesh,Rural,1146,4.329203088,4.329203088,0,0,0,0,0,0,0,0,0,0,0,0
15,APKL0167,Gorantla_KL ,Sri Sathya Sai,Andhra Pradesh,Rural,1326,8.328808,8.328808,0,0,0,0,0,0,0,0,0,0,0,0
16,TSJLG0223,Huzurnagar_JLG,Suryapet,Telangana,rural,1971,6.83846467699997,6.82905283199997,3,0,0,0.009411845,0.006015217,0.003396628,0,0,0,0,0,0
17,APJLG0235,Ibrahimpatnam_JLG,NTR,Andhra Pradesh,Rural,2875,11.852709648000001,11.840066891000001,3,0,0,0.012642757,0.00843389,0.004208867,0,0,0,0,0,0
18,APKL0088,Jammalamadugu_KL,Kadapa,Andhra Pradesh,Rural,989,6.3155688,6.3155688,0,0,0,0,0,0,0,0,0,0,0,0
19,APJLG0261,Kadiam_JLG,East Godavari,Andhra Pradesh,Rural,4198,11.164589971,11.16275335,1,0,0,0.0018366209999999999,0.0018366209999999999,0,0,0,0,0,0,0
