Keertana Finserv Private Limited ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Portfolio Cuts as on 28 Feb 25,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Branchwise Break-up ,,,,,,,,, ,,, ,,,,,,,,,,, ,
,,,,,,,,,,,,,,,,,,,,,,,,
SN,Branch Code,Branch Name,District,State,Branch Classification Rural / Urban,Number of Active Loans,"Principal Outstanding of Active Loans
(In Crs)",Standard Portfolio with 0 DPD,No of loans in arrears,No of loans written off,"Write offs in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30 DPD Loans Outstanding ,31-60 DPD Loans Oustatnding,61-90 DPD Loans Oustatnding,91 to 120 DPD Loans Oustatnding,121-150 DPD Loans Outstanding,151-180 DPD Loans Outstanding,181-365 DPD Loans Outstanding,>365 DPD Loans Ousttanding,PAR >0 days,% of  PAR >0 days,PAR >90days,% of PAR >90 days
1,APJLG0271,Atchutapuram_JLG,Anakapalli,Andhra Pradesh,Rural,1165,3.1321410109000003,2.8782128799000004,71,0,0,0.253928131,0.07023839300000001,0.045727653,0.036961234999999995,0.033609822,0.041595115999999994,0.025795912,0,0,0.253928131,0.08107174297591263,0.10100085,0.032246584572186314
2,APJLG0272,Chodavaram_JLG,Anakapalli,Andhra Pradesh,Rural,2214,5.97308259799999,5.85620943499999,40,0,0,0.116873163,0.097759614,0.007072117,0.004405899,0.0040177830000000005,0.00361775,0,0,0,0.116873163,0.019566641023704156,0.007635533,0.0012783236921178121
3,APJLG0349,Narsipatnam_JLG,Anakapalli,Andhra Pradesh,Urban,613,1.716700923,1.716700923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,APKL0094,Narsipatnam_KL,Anakapalli,Andhra Pradesh,Urban,1740,7.8128731,7.8128731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,APKL0174,Anakapalli_KL,Anakapalli,Andhra Pradesh,Urban,982,8.2399907,8.2399907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,APKL0383,Atchutapuram_KL,Anakapalli,Andhra Pradesh,Rural,586,4.0708709,4.0708709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,APKL0397,Addaroad_KL,Anakapalli,Andhra Pradesh,Rural,351,2.3015923,2.3015923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,APMP0096,Narsipatnam_LH,Anakapalli,Andhra Pradesh,Urban,216,3.8438436979999997,3.7976308999999997,3,0,0,0.046212798,0.039396949,0,0,0.001223319,0,0,0.00559253,0,0.046212798,0.012022548685849297,0.0068158490000000006,0.0017731857836847979
9,APMP0157,Anakapalli_LH,Anakapalli,Andhra Pradesh,Urban,128,3.169355909,3.0164618130000003,10,0,0,0.152894096,0.021155829,0.047826602,0.079555873,0.0028861299999999998,0.001469662,0,0,0,0.152894096,0.04824137786665979,0.004355792,0.0013743461211253947
10,APJLG0452,Rayadurgam_JLG,Anantapur,Andhra Pradesh,Urban,471,1.7513774170000003,1.7513774170000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,APJLG0453,Tadipatri_JLG,Anantapur,Andhra Pradesh,Urban,256,0.965518345999999,0.965518345999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,APJLG0456,Guntakal_JLG,Anantapur,Andhra Pradesh,Urban,252,0.9388599310000001,0.9388599310000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,APKL0019,Anantapur_KL,Anantapur,Andhra Pradesh,Urban,1688,14.2073029,14.2073029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,APKL0056,Anantapur-2_KL,Anantapur,Andhra Pradesh,Urban,1706,16.6848178,16.6848178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,APKL0057,Kalyanadurgam_KL,Anantapur,Andhra Pradesh,Rural,2222,14.7959089,14.7959089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,APKL0102,Tadipatri_KL,Anantapur,Andhra Pradesh,Urban,1503,11.8250684,11.8250684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,APKL0120,Pamidi_KL,Anantapur,Andhra Pradesh,Rural,1265,8.8880831,8.8880831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,APKL0172,Gooty_KL,Anantapur,Andhra Pradesh,Rural,1336,12.3170277,12.3170277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,APKL0173,Rayadurgam_KL,Anantapur,Andhra Pradesh,Urban,1822,8.4552409,8.4552409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,APKL0179,Guntakal_KL,Anantapur,Andhra Pradesh,Urban,3810,26.023477,26.023477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,APKL0206,Uravakonda_KL,Anantapur,Andhra Pradesh,Rural,3165,19.9125766,19.9125766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,APKL0209,Puttaparthi_KL,Anantapur,Andhra Pradesh,Rural,483,3.2106164,3.2106164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,APKL0338,Penukonda_KL,Anantapur,Andhra Pradesh,Rural,478,3.4312931,3.4312931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,APKL0339,Narpala_KL,Anantapur,Andhra Pradesh,Rural,884,4.647788,4.647788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,APKL0370,Guntakal-2_KL,Anantapur,Andhra Pradesh,Urban,835,6.2638838,6.2638838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,APMP0130,Anantapur_LH,Anantapur,Andhra Pradesh,Urban,264,1.450935804,1.135648707,48,0,0,0.315287097,0.187383935,0.033218444,0.013155313,0.007112136999999999,0.026586935,0.023735012,0.024095321,0,0.315287097,0.2172991362752256,0.081529405,0.05619091125550583
27,APMP0164,Rayadurgam_LH,Anantapur,Andhra Pradesh,Urban,233,3.751259864,3.751259864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,APMP0260,Guntakal_LH,Anantapur,Andhra Pradesh,Urban,291,5.158756857999999,5.010108129999999,18,0,0,0.14864872799999998,0.009751092,0.016415262,0.08729783399999999,0.011311694,0.010967995,0.012904851,0,0,0.14864872799999998,0.028814835064281293,0.03518454,0.006820352454765761
29,APJLG0291,Madanapalle_JLG,Annamayya,Andhra Pradesh,Urban,2891,8.30527958199999,8.14787312099999,51,0,0,0.157406461,0.089881243,0.039886009,0.027639209,0,0,0,0,0,0.157406461,0.01895257823001487,0,0
30,APJLG0356,Piler_JLG,Annamayya,Andhra Pradesh,Urban,1680,5.719150139,5.520314938,53,0,0,0.198835201,0.154156613,0.044678588,0,0,0,0,0,0,0.198835201,0.034766564291450225,0,0
