Unnamed: 0,Keertana Finserv Private Limited ,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,Portfolio Cuts as on 31st Jan 2024,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Branchwise,,,,,,,,,,,,,,,,,,,
,SN,Branch Code,Branch Name,District,State,Number of Loans,"Total Principal Outstanding 
(In Crs)",Principal without overdues (In Crs),No of loans in arrears,No of loans written off,"Write offs in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30,31-60,61-90,91-120,121-150,151-180,181-365,>365
,1,SRJLG0012,KD Peta,Visakhapatnam,Andhra Pradesh,1989,6.32652838999998,6.32652838999998,0,0,0,0,0,0,0,0,0,0,0,0
,2,APKL0033,Addanki_KL,Bapatla,Andhra Pradesh,1557,7.3788602,7.3788602,0,0,0,0,0,0,0,0,0,0,0,0
,3,APJLG0244,Amaravathi_JLG,Palnadu,Andhra Pradesh,2304,9.821943548000009,9.821943548000009,0,0,0,0,0,0,0,0,0,0,0,0
,4,APJLG0288,Anandapuram_JLG,Visakhapatnam,Andhra Pradesh,107,0.5616016,0.5616016,0,0,0,0,0,0,0,0,0,0,0,0
,5,APKL0019,Anantapur_KL,Anantapur,Andhra Pradesh,877,6.9583336,6.9583336,0,0,0,0,0,0,0,0,0,0,0,0
,6,APKL0050,Annavaram_KL,Kakinada,Andhra Pradesh,504,1.8244849,1.8244849,0,0,0,0,0,0,0,0,0,0,0,0
,7,APMP0095,Annavaram_LH,Kakinada,Andhra Pradesh,507,9.06063871100001,9.06063871100001,1,0,0,0,0,0,0,0,0,0,0,0
,8,APJLG0271,Atchutapuram_JLG,Anakapalle,Andhra Pradesh,647,3.19257150000001,3.19257150000001,0,0,0,0,0,0,0,0,0,0,0,0
,9,APKL0059,Atmakur_KL,Nandyal,Andhra Pradesh,1153,5.0292661,5.0292661,0,0,0,0,0,0,0,0,0,0,0,0
,10,APJLG0198,Attili_JLG,West Godavari,Andhra Pradesh,1607,6.49306633399999,6.49306633399999,0,0,0,0,0,0,0,0,0,0,0,0
,11,APJLG0225,Bapatla_JLG,Bapatla,Andhra Pradesh,4073,13.9804659889999,13.977057685999899,1,0,0,0.0034083029999999997,0.0034083029999999997,0,0,0,0,0,0,0
,12,APMP0158,Bapatla_LH,Bapatla,Andhra Pradesh,397,4.364788596,4.311184274,1,0,0,0.053604321999999996,0,0,0.053604321999999996,0,0,0,0,0
,13,APKL0006,Chittoor_KL,Chittoor,Andhra Pradesh,1217,6.4216876,6.4216876,0,0,0,0,0,0,0,0,0,0,0,0
,14,APJLG0330,Dwarapudi_JLG,East Godavari,Andhra Pradesh,1031,3.93811188299999,3.93811188299999,0,0,0,0,0,0,0,0,0,0,0,0
,15,APKL0167,Gorantla_KL ,Sri Sathya Sai,Andhra Pradesh,1222,7.5364359,7.5364359,0,0,0,0,0,0,0,0,0,0,0,0
,16,TSJLG0223,Huzurnagar_JLG,Suryapet,Telangana,1928,6.94498064999999,6.94158402199999,1,0,0,0.003396628,0.003396628,0,0,0,0,0,0,0
,17,APJLG0235,Ibrahimpatnam_JLG,NTR,Andhra Pradesh,2706,11.471160621,11.466951754,1,0,0,0.004208867,0.004208867,0,0,0,0,0,0,0
,18,APKL0088,Jammalamadugu_KL,Kadapa,Andhra Pradesh,912,5.9040263,5.9040263,0,0,0,0,0,0,0,0,0,0,0,0
,19,APJLG0261,Kadiam_JLG,East Godavari,Andhra Pradesh,4128,11.595462937,11.586590186,3,0,0,0.008872751,0.008872751,0,0,0,0,0,0,0
,20,APKL0057,Kalyanadurgam_KL,Anantapur,Andhra Pradesh,1098,6.4947798,6.4947798,0,0,0,0,0,0,0,0,0,0,0,0
,21,APKL0065,Kandukur_KL,Nellore,Andhra Pradesh,867,4.6144251,4.6144251,0,0,0,0,0,0,0,0,0,0,0,0
,22,APKL0074,Kanigiri_KL,Prakasam,Andhra Pradesh,882,4.8460148,4.8460148,0,0,0,0,0,0,0,0,0,0,0,0
,23,APKL0124,Kavali_KL,Nellore,Andhra Pradesh,709,3.9604318,3.9604318,0,0,0,0,0,0,0,0,0,0,0,0
,24,APJLG0184,Kesarapalli_JLG,Krishna,Andhra Pradesh,2395,8.672769986000011,8.66915496000001,1,0,0,0.0036150260000000004,0.0036150260000000004,0,0,0,0,0,0,0
,25,APKL0040,Kolluru_KL,Bapatla,Andhra Pradesh,1229,4.162887,4.162887,0,0,0,0,0,0,0,0,0,0,0,0
,26,APJLG0274,Kothavalasa_JLG,Vizianagaram,Andhra Pradesh,273,1.424898,1.424898,0,0,0,0,0,0,0,0,0,0,0,0
,27,APKL0107,Kotturu_KL,Srikakulam,Andhra Pradesh,1076,5.472326,5.472326,0,0,0,0,0,0,0,0,0,0,0,0
,28,APKL0137,Kovur_KL,Nellore,Andhra Pradesh,632,3.2635065,3.2635065,0,0,0,0,0,0,0,0,0,0,0,0
,29,APKL0109,Krishnalanka_KL,Krishna,Andhra Pradesh,615,3.4055304,3.4055304,0,0,0,0,0,0,0,0,0,0,0,0
,30,TSJLG0246,Mudigonda_JLG,Khammam,Telangana,2339,10.286642696,10.286642696,0,0,0,0,0,0,0,0,0,0,0,0
,31,APKL0079,Achampet_KL,Palnadu,Andhra Pradesh,686,1.9523796,1.9523796,0,0,0,0,0,0,0,0,0,0,0,0
,32,APKL0110,Ajit Singh Nagar_KL,Krishna,Andhra Pradesh,569,3.4384693,3.4384693,0,0,0,0,0,0,0,0,0,0,0,0
