Keertana Finserv Private Limited ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Portfolio Cuts as on 31 Jan 25,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Branchwise Break-up ,,,,,,,,, ,,, ,,,,,,,,,,, ,
,,,,,,,,,,,,,,,,,,,,,,,,
SN,Branch Code,Branch Name,District,State,Branch Classification Rural / Urban,Number of Active Loans,"Principal Outstanding of Active Loans
(In Crs)",Standard Portfolio with 0 DPD,No of loans in arrears,No of loans written off,"Write offs in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30 DPD Loans Outstanding ,31-60 DPD Loans Oustatnding,61-90 DPD Loans Oustatnding,91 to 120 DPD Loans Oustatnding,121-150 DPD Loans Outstanding,151-180 DPD Loans Outstanding,181-365 DPD Loans Outstanding,>365 DPD Loans Ousttanding,PAR >0 days,% of  PAR >0 days,PAR >90days,% of PAR >90 days
1,APJLG0271,Atchutapuram_JLG,Anakapalli,Andhra Pradesh,Rural,1185,3.3602030079000103,3.12931487490001,63,0,0,0.23088813300000002,0.081828873,0.048058409999999996,0.029453468,0.04575147,0.025795912,0,0,0,0.23088813300000002,0.06871255470493007,0.071547382,0.021292577213873218
2,APJLG0272,Chodavaram_JLG,Anakapalli,Andhra Pradesh,Rural,2234,6.40159612599998,6.38248257699998,5,0,0,0.019113549,0.007072117,0.004405899,0.0040177830000000005,0.00361775,0,0,0,0,0.019113549,0.002985747401709806,0.00361775,0.0005651324964576516
3,APJLG0349,Narsipatnam_JLG,Anakapalli,Andhra Pradesh,Urban,616,1.834624809,1.834624809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,APKL0094,Narsipatnam_KL,Anakapalli,Andhra Pradesh,Urban,1587,6.7987182,6.7987182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,APKL0174,Anakapalli_KL,Anakapalli,Andhra Pradesh,Urban,903,7.0676204,7.0676204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,APKL0383,Atchutapuram_KL,Anakapalli,Andhra Pradesh,Rural,499,3.2629619,3.2629619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,APKL0397,Addaroad_KL,Anakapalli,Andhra Pradesh,Rural,202,1.3236838,1.3236838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,APMP0096,Narsipatnam_LH,Anakapalli,Andhra Pradesh,Urban,251,3.9262301049999997,3.9194142559999996,2,0,0,0.0068158490000000006,0,0.001223319,0,0,0,0.00559253,0,0,0.0068158490000000006,0.0017359779782952893,0.00559253,0.0014244019964285818
9,APMP0157,Anakapalli_LH,Anakapalli,Andhra Pradesh,Urban,141,2.9913534079999997,2.851976437,10,0,0,0.13937697100000002,0.053044756000000005,0.082442003,0,0,0.003890212,0,0,0,0.13937697100000002,0.04659328136463374,0.003890212,0.0013004855894312307
10,APJLG0452,Rayadurgam_JLG,Anantapur,Andhra Pradesh,Urban,437,1.693813044,1.693813044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,APJLG0453,Tadipatri_JLG,Anantapur,Andhra Pradesh,Urban,225,0.87906706,0.87906706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,APJLG0456,Guntakal_JLG,Anantapur,Andhra Pradesh,Urban,232,0.902119446,0.902119446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,APKL0019,Anantapur_KL,Anantapur,Andhra Pradesh,Urban,1610,13.1820267,13.1820267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,APKL0056,Anantapur-2_KL,Anantapur,Andhra Pradesh,Urban,1605,14.7901635,14.7901635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,APKL0057,Kalyanadurgam_KL,Anantapur,Andhra Pradesh,Rural,2179,13.9802852,13.9802852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,APKL0102,Tadipatri_KL,Anantapur,Andhra Pradesh,Urban,1376,10.5433959,10.5433959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,APKL0120,Pamidi_KL,Anantapur,Andhra Pradesh,Rural,1218,8.1238353,8.1238353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,APKL0172,Gooty_KL,Anantapur,Andhra Pradesh,Rural,1276,11.3974451,11.3974451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,APKL0173,Rayadurgam_KL,Anantapur,Andhra Pradesh,Urban,1718,8.0084355,8.0084355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,APKL0179,Guntakal_KL,Anantapur,Andhra Pradesh,Urban,3646,24.4600437,24.4600437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,APKL0206,Uravakonda_KL,Anantapur,Andhra Pradesh,Rural,2972,18.0439075,18.0439075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,APKL0209,Puttaparthi_KL,Anantapur,Andhra Pradesh,Rural,432,2.5637251,2.5637251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,APKL0338,Penukonda_KL,Anantapur,Andhra Pradesh,Rural,405,2.9517337,2.9517337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,APKL0339,Narpala_KL,Anantapur,Andhra Pradesh,Rural,777,3.8799756,3.8799756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,APKL0370,Guntakal-2_KL,Anantapur,Andhra Pradesh,Urban,710,5.1399428,5.1399428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,APMP0130,Anantapur_LH,Anantapur,Andhra Pradesh,Urban,291,1.497324961,1.2781324179999998,50,0,0,0.21919254300000002,0.105052816,0.030117636,0.008263182,0.030660398999999998,0.021003189000000002,0.003995523,0.020099798000000002,0,0.21919254300000002,0.14638942695085413,0.075758909,0.050596170486200825
27,APMP0164,Rayadurgam_LH,Anantapur,Andhra Pradesh,Urban,234,3.6999977100000003,3.6999977100000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,APMP0260,Guntakal_LH,Anantapur,Andhra Pradesh,Urban,292,4.866106054,4.722815147,16,0,0,0.143290907,0.020808532999999997,0.043007092,0.055602436,0.010967995,0.012904851,0,0,0,0.143290907,0.029446729152607157,0.023872846,0.004905944452315465
29,APJLG0291,Madanapalle_JLG,Annamayya,Andhra Pradesh,Urban,2919,8.87679858599995,8.80234396199995,22,0,0,0.074454624,0.046815415,0.027639209,0,0,0,0,0,0,0.074454624,0.00838755360715587,0,0
30,APJLG0356,Piler_JLG,Annamayya,Andhra Pradesh,Urban,1686,6.05075298100001,5.98387767700001,18,0,0,0.06687530400000001,0.06687530400000001,0,0,0,0,0,0,0,0.06687530400000001,0.011052393678934734,0,0
31,APJLG0401,Rayachoti_JLG,Annamayya,Andhra Pradesh,Urban,866,3.127054527,3.127054527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,APKL0009,Rayachoti_KL,Annamayya,Andhra Pradesh,Urban,1409,7.7030758,7.7030758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,APKL0010,Madanapalle_KL,Annamayya,Andhra Pradesh,Urban,1423,13.508043,13.508043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,APKL0018,Kalikiri_KL,Annamayya,Andhra Pradesh,Rural,526,1.8684291,1.8684291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,APKL0047,Piler_KL,Annamayya,Andhra Pradesh,Urban,896,4.9742722,4.9742722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,APKL0082,B Kothakota_KL,Annamayya,Andhra Pradesh,Rural,1147,5.0854782,5.0854782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,APKL0085,T Sundupalle_KL,Annamayya,Andhra Pradesh,Rural,2431,14.1549662,14.1549662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,APKL0400,Galiveedu_KL,Annamayya,Andhra Pradesh,Rural,146,0.9138996,0.9138996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,APMP0128,Madanapalle_LH,Annamayya,Andhra Pradesh,Urban,512,2.359422034,2.05747923,57,0,0,0.301942804,0.054644408,0.050418832000000004,0.093505773,0.018035212,0.044610707,0.024379091000000002,0.016348781,0,0.301942804,0.127973206848504,0.10337379099999999,0.04381318369937711
40,APJLG0225,Bapatla_JLG,Bapatla,Andhra Pradesh,Urban,3113,5.43192195199999,5.06836497499999,224,0,0,0.363556977,0.19419018200000002,0.101906237,0.010145547,0.02229435,0.031905778,0.003114883,0,0,0.363556977,0.06692971294739264,0.057315011,0.010551515928703114
41,APJLG0228,Cherukupalli_JLG,Bapatla,Andhra Pradesh,Rural,2405,3.98186250400001,2.8948319760000105,734,0,0,1.0870305279999999,0.359687085,0.17308226499999999,0.34829277799999997,0.0989922029999999,0.103844239,0.0031319580000000002,0,0,1.0870305279999999,0.2729954956777174,0.20596839999999988,0.05172664796765151
42,APJLG0270,Repalle_JLG,Bapatla,Andhra Pradesh,Urban,2628,5.9530660487,3.1756147646999997,1128,0,0,2.7774512840000005,0.732664873,0.582236434,1.172225694,0.162089094,0.128235189,0,0,0,2.7774512840000005,0.46655811665427865,0.290324283,0.04876886643369252
43,APJLG0306,Chandole_JLG,Bapatla,Andhra Pradesh,Rural,1769,3.368316905,3.004625303,186,0,0,0.363691602,0.28896360499999996,0.054398009,0.004528626,0.011248389,0.004552973,0,0,0,0.363691602,0.10797428278204126,0.015801362,0.004691174389364649
44,APJLG0332,Martur_JLG,Bapatla,Andhra Pradesh,Rural,2139,5.59754748999996,4.53780916299996,412,0,0,1.0597383269999998,0.616333976,0.26209417999999995,0.10671952900000001,0.056023865,0.018566777,0,0,0,1.0597383269999998,0.18932190015238395,0.074590642,0.013325593419842612
