Keertana Finserv Private Limited ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Portfolio Cuts as on 31 Jul 2024,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Branchwise Break-up ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
SN,Branch Code,Branch Name,District,State,Branch Classification Rural / Urban,Number of Active Loans,"Principal Outstanding of Active Loans
(In Crs)",Standard Portfolio with 0 DPD,No of loans in arrears,No of loans written off,"Write offs in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30 DPD Loans Outstanding ,31-60 DPD Loans Oustatnding,61-90 DPD Loans Oustatnding,91 to 120 DPD Loans Oustatnding,121-150 DPD Loans Outstanding,151-180 DPD Loans Outstanding,181-365 DPD Loans Outstanding,>365 DPD Loans Ousttanding,PAR >0 days,% of  PAR >0 days,PAR >90days,% of PAR >90 days
1,SRJLG0012,KD Peta,Visakhapatnam,Andhra Pradesh,Rural,1593,4.14241010799999,4.139991667999991,1,0,0,0.00241844,0,0.00241844,0,0,0,0,0,0,0.00241844,0.0005838243768595993,0,0
2,APKL0033,Addanki_KL,Bapatla,Andhra Pradesh,Urban,1799,10.9919131,10.9919131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,APJLG0244,Amaravathi_JLG,Palnadu,Andhra Pradesh,Urban,3489,12.0123408440001,12.0123408440001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,APKL0019,Anantapur_KL,Anantapur,Andhra Pradesh,Urban,1429,12.3324856,12.3324856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,APKL0050,Annavaram_KL,Kakinada,Andhra Pradesh,Rural,1046,5.2456294,5.2456294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,APJLG0271,Atchutapuram_JLG,Anakapalle,Andhra Pradesh,Rural,1051,4.284281345,4.224738741,12,0,0,0.05954260399999999,0.004690237999999999,0.024532276999999998,0.014973982999999998,0.010058105999999999,0,0.005288,0,0,0.05954260399999999,0.013897921075955853,0.015346105999999998,0.0035819557037050746
8,APKL0059,Atmakur_KL,Nandyal,Andhra Pradesh,Rural,1812,9.8397559,9.8397559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
