Keertana Finserv Private Limited ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Portfolio Cuts as on 30 Jun 2024,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Branchwise Break-up ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
SN,Branch Code,Branch Name,District,State,Branch Classification Rural / Urban,Number of Active Loans,"Principal Outstanding of Active Loans
(In Crs)",Standard Portfolio with 0 DPD,No of loans in arrears,No of loans written off,"Write offs in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30 DPD Loans Outstanding ,31-60 DPD Loans Oustatnding,61-90 DPD Loans Oustatnding,91 to 120 DPD Loans Oustatnding,121-150 DPD Loans Outstanding,151-180 DPD Loans Outstanding,181-365 DPD Loans Outstanding,>365 DPD Loans Ousttanding,PAR >0 days,% of  PAR >0 days,PAR >90days,% of PAR >90 days
1,SRJLG0012,KD Peta,Visakhapatnam,Andhra Pradesh,Rural,1650,4.478618349,4.476199909000001,1,0,0,0.00241844,0.00241844,0,0,0,0,0,0,0,0.00241844,0.0005399968944752786,0,0
2,APKL0033,Addanki_KL,Bapatla,Andhra Pradesh,Urban,1678,10.4744281,10.4744281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,APJLG0244,Amaravathi_JLG,Palnadu,Andhra Pradesh,Urban,3184,11.931540685,11.931540685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,APKL0019,Anantapur_KL,Anantapur,Andhra Pradesh,Urban,1352,11.8459042,11.8459042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,APKL0050,Annavaram_KL,Kakinada,Andhra Pradesh,Rural,950,4.8283299,4.8283299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,APMP0095,Annavaram_MSME,Kakinada,Andhra Pradesh,Rural,301,1.281484724,1.214121263,11,0,0,0.06736346100000001,0.048320365000000004,0.011659594,0.007383502,0,0,0,0,0,0.06736346100000001,0.05256672962103918,0,0
7,APJLG0271,Atchutapuram_JLG,Anakapalle,Andhra Pradesh,Rural,1051,4.47752903800001,4.41327616500001,13,0,0,0.06425287299999999,0.028988873999999998,0.019917893,0.010058105999999999,0,0.005288,0,0,0,0.06425287299999999,0.01435007399275293,0.005288,0.001181008532858562
8,APKL0059,Atmakur_KL,Nandyal,Andhra Pradesh,Rural,1587,8.8532461,8.8402531,2,0,0,0.012993,0,0.012993,0,0,0,0,0,0,0.012993,0.0014675972918001229,0,0
9,APJLG0198,Attili_JLG,West Godavari,Andhra Pradesh,Rural,1766,5.844909557,5.816769831,8,0,0,0.028139725999999997,0.010346623,0.002918129,0,0.014874974,0,0,0,0,0.028139725999999997,0.004814398875736102,0.014874974,0.002544945110773422
10,APJLG0225,Bapatla_JLG,Bapatla,Andhra Pradesh,Urban,4933,14.2698534929999,14.2190044929999,18,0,0,0.050849000000000005,0.014530522,0.002762136,0.009158696000000001,0.0032437580000000002,0.021153888,0,0,0,0.050849000000000005,0.0035633862691683603,0.024397646,0.001709733460961481
11,APMP0158,Bapatla_LH,Bapatla,Andhra Pradesh,Urban,409,5.62735172200001,5.57374740000001,1,0,0,0.053604321999999996,0,0,0,0,0,0,0.053604321999999996,0,0.053604321999999996,0.0095256747131044,0.053604321999999996,0.0095256747131044
12,APKL0006,Chittoor_KL,Chittoor,Andhra Pradesh,Urban,1673,9.2502142,9.2502142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,APJLG0330,Dwarapudi_JLG,East Godavari,Andhra Pradesh,Rural,1567,5.4552053859999905,5.43986508399999,5,0,0,0.015340302,0.010790511000000001,0.004549791,0,0,0,0,0,0,0.015340302,0.0028120484774723066,0,0
14,APKL0167,Gorantla_KL ,Sri Sathya Sai,Andhra Pradesh,Rural,1750,13.0896075,13.0896075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,TSJLG0223,Huzurnagar_JLG,Suryapet,Telangana,rural,2006,5.743008156,5.479300373,106,0,0,0.26370778300000003,0.13517816200000002,0.041293633,0.060662539,0.023176821,0,0.003396628,0,0,0.26370778300000003,0.045918058243481975,0.026573449,0.00462709581427939
16,APJLG0235,Ibrahimpatnam_JLG,NTR,Andhra Pradesh,Rural,3209,11.435509717,11.061845862,93,0,0,0.373663855,0.296580287,0.040637044,0.020306944,0.011930713,0,0.004208867,0,0,0.373663855,0.03267574985700132,0.01613958,0.001411356415185144
17,APKL0088,Jammalamadugu_KL,Kadapa,Andhra Pradesh,Rural,1367,9.7124606,9.7124606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,APJLG0261,Kadiam_JLG,East Godavari,Andhra Pradesh,Rural,4156,8.34516907100002,8.278296242000021,32,0,0,0.066872829,0.01954734,0.035485747,0.009206187,0.002633555,0,0,0,0,0.066872829,0.008013358199342806,0.002633555,0.00031557838763887565
19,APKL0057,Kalyanadurgam_KL,Anantapur,Andhra Pradesh,Rural,1795,14.0871171,14.0871171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,APKL0065,Kandukur_KL,Nellore,Andhra Pradesh,Rural,1167,7.1270419,7.1270419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,APKL0074,Kanigiri_KL,Prakasam,Andhra Pradesh,Rural,959,7.1787042,7.1787042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,APKL0124,Kavali_KL,Nellore,Andhra Pradesh,Rural,956,6.7537568,6.7537568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,APJLG0184,Kesarapalli_JLG,Krishna,Andhra Pradesh,Rural,2642,7.73899609699999,7.5080047899999895,74,0,0,0.230991307,0.156963553,0.06786493,0.002547798,0,0,0.0036150260000000004,0,0,0.230991307,0.029847709458019168,0.0036150260000000004,0.000467118209479568
24,APKL0040,Kolluru_KL,Bapatla,Andhra Pradesh,Rural,1318,6.0658852,6.0658852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,APJLG0274,Kothavalasa_JLG,Vizianagaram,Andhra Pradesh,Rural,1044,4.89922078499999,4.89922078499999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,APKL0107,Kotturu_KL,Srikakulam,Andhra Pradesh,Rural,1201,9.1153116,9.1153116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,APKL0137,Kovur_KL,Nellore,Andhra Pradesh,Rural,1067,6.2062511,6.2062511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,APKL0109,Krishnalanka_KL,Krishna,Andhra Pradesh,Rural,874,5.652539,5.652539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,TSJLG0246,Mudigonda_JLG,Khammam,Telangana,Rural,3422,13.453219859999901,13.453219859999901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,APKL0079,Achampet_KL,Palnadu,Andhra Pradesh,Rural,809,3.1895477,3.1895477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,APKL0110,Ajit Singh Nagar_KL,Krishna,Andhra Pradesh,Urban,1155,8.4472183,8.4472183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,APKL0061,Allagadda_KL,Nandyal,Andhra Pradesh,Rural,1674,11.9723191,11.9723191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,APKL0051,Amalapuram_KL,Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,Rural,1058,5.361627,5.361627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,TSJLG0282,Aswaraopeta_JLG,Bhadradri Kothagudem,Telangana,Rural,2636,11.673008688,11.673008688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,APKL0082,B Kothakota_KL,Annamayya,Andhra Pradesh,Rural,1083,5.2957048,5.2957048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,APJLG0183,Challapalli_JLG,Krishna,Andhra Pradesh,rural,3105,8.81679096499999,8.564691644999991,96,0,0,0.25209932,0.122003196,0.047934278999999996,0.041292154,0.012422785,0.011607088,0.013017406,0.0038224120000000003,0,0.25209932,0.028593092543620295,0.040869691,0.004635438354185824
37,APKL0043,Challapalli_KL,Krishna,Andhra Pradesh,Rural,1310,6.4510875,6.4510875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,APJLG0227,Chilakaluripet_JLG,Palnadu,Andhra Pradesh,rural,3334,8.48862066400006,8.34342254200006,61,0,0,0.145198122,0.09678824200000001,0.02189266,0.023017004,0.0035002160000000004,0,0,0,0,0.145198122,0.017105031282146948,0.0035002160000000004,0.00041234213879344294
39,APMP0160,Chilakaluripet_LH,Palnadu,Andhra Pradesh,Urban,329,4.183726394,4.183726394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
