Keertana Finserv Private Limited ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
Portfolio Cuts as on 31 Mar 2024,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Branchwise Break-up ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
SN,Branch Code,Branch,District,State,Branch Classification Rural / Urban,Number of ActiveLoans,"Principal Outstanding of Active Loans
(In Crs)",Standard Portfolio with 0 DPD,No of loans in arrears,No of loans written off,"Written off value in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30 DPD Loans Outstanding ,31-60 DPD Loans Oustatnding,61-90 DPD Loans Oustatnding,91 to 120 DPD Loans Oustatnding,121-150 DPD Loans Outstanding,151-180 DPD Loans Outstanding,181-365 DPD Loans Outstanding,>365 DPD Loans Ousttanding,PAR >0 days,% of  PAR >0 days,PAR >90days,% of PAR >90 days,,
1,SRJLG0012,KD Peta,Visakhapatnam,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
2,APKL0033,Addanki_KL,Bapatla,Andhra Pradesh,Urban,,,,,0,0,,,,,,,,,,,,,,,
3,APJLG0244,Amaravathi_JLG,Palnadu,Andhra Pradesh,Urban,,,,,0,0,,,,,,,,,,,,,,,
4,APJLG0288,Anandapuram_JLG,Visakhapatnam,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
5,APKL0019,Anantapur_KL,Anantapur,Andhra Pradesh,Urban,,,,,0,0,,,,,,,,,,,,,,,
6,APKL0050,Annavaram_KL,Kakinada,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
7,APMP0095,Annavaram_LH,Kakinada,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
8,APJLG0271,Atchutapuram_JLG,Anakapalle,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
9,APKL0059,Atmakur_KL,Nandyal,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
10,APJLG0198,Attili_JLG,West Godavari,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
11,APJLG0225,Bapatla_JLG,Bapatla,Andhra Pradesh,Urban,,,,,0,0,,,,,,,,,,,,,,,
12,APMP0158,Bapatla_LH,Bapatla,Andhra Pradesh,Urban,,,,,0,0,,,,,,,,,,,,,,,
13,APKL0006,Chittoor_KL,Chittoor,Andhra Pradesh,Urban,,,,,0,0,,,,,,,,,,,,,,,
14,APJLG0330,Dwarapudi_JLG,East Godavari,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
15,APKL0167,Gorantla_KL ,Sri Sathya Sai,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
16,TSJLG0223,Huzurnagar_JLG,Suryapet,Telangana,rural,,,,,0,0,,,,,,,,,,,,,,,
17,APJLG0235,Ibrahimpatnam_JLG,NTR,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
18,APKL0088,Jammalamadugu_KL,Kadapa,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
19,APJLG0261,Kadiam_JLG,East Godavari,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
20,APKL0057,Kalyanadurgam_KL,Anantapur,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
21,APKL0065,Kandukur_KL,Nellore,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
22,APKL0074,Kanigiri_KL,Prakasam,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
23,APKL0124,Kavali_KL,Nellore,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
24,APJLG0184,Kesarapalli_JLG,Krishna,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
25,APKL0040,Kolluru_KL,Bapatla,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
26,APJLG0274,Kothavalasa_JLG,Vizianagaram,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
27,APKL0107,Kotturu_KL,Srikakulam,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
28,APKL0137,Kovur_KL,Nellore,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
29,APKL0109,Krishnalanka_KL,Krishna,Andhra Pradesh,Rural,,,,,0,0,,,,,,,,,,,,,,,
