Keertana Finserv Private Limited ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Portfolio Cuts as on 31 Mar 25,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Branchwise Break-up ,,,,,,,,,,, ,,, ,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,
SN,Branch Code,Branch Name,District,,,State,Branch Classification Rural / Urban,Number of Active Loans,"Principal Outstanding of Active Loans
(In Crs)",Standard Portfolio with 0 DPD,No of loans in arrears,"Total PAR 
(In Crs)",1-30 DPD Loans Outstanding ,31-60 DPD Loans Oustatnding,61-90 DPD Loans Oustatnding,91 to 120 DPD Loans Oustatnding,121-150 DPD Loans Outstanding,151-180 DPD Loans Outstanding,181-365 DPD Loans Outstanding,>365 DPD Loans Ousttanding,PAR >0 days,% of  PAR >0 days,PAR >90days,% of PAR >90 days,
1,APJLG0271,Atchutapuram_JLG,Anakapalli,,,Andhra Pradesh,Rural,1134,2.8006909649,2.5976091048999996,64,0.20308186,0.09890131899999999,0.047624454999999996,0.031750734,0.024805352,0,0,0,0,0.20308186,0.07251134185997246,0.024805352,0.008856868648085808,
2,APJLG0272,Chodavaram_JLG,Anakapalli,,,Andhra Pradesh,Rural,2200,5.506111984,5.29447942,76,0.21163256399999997,0.135345934,0.064808614,0.007072117,0.004405899,0,0,0,0,0.21163256399999997,0.038435935305161775,0.004405899,0.0008001833258754875,
3,APJLG0349,Narsipatnam_JLG,Anakapalli,,,Andhra Pradesh,Rural,609,1.5889295449999998,1.5889295449999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,APKL0094,Narsipatnam_KL,Anakapalli,,,Andhra Pradesh,Rural,1878,8.7656773,8.5743216,36,0.1913557,0.1514825,0.0318697,0.0080035,0,0,0,0,0,0.1913557,0.021830110036106392,0,0,
5,APKL0174,Anakapalli_KL,Anakapalli,,,Andhra Pradesh,Urban,1071,8.9022326,8.5337597,63,0.3684729,0.2265626,0.1419103,0,0,0,0,0,0,0.3684729,0.04139106632644041,0,0,
6,APKL0383,Atchutapuram_KL,Anakapalli,,,Andhra Pradesh,Rural,687,5.0570351,5.032770800000001,4,0.0242643,0.0242643,0,0,0,0,0,0,0,0.0242643,0.004798127661799302,0,0,
7,APKL0397,Addaroad_KL,Anakapalli,,,Andhra Pradesh,Rural,470,3.3918151,3.3054762,8,0.0863389,0.0863389,0,0,0,0,0,0,0,0.0863389,0.025455072713132267,0,0,
8,APMP0096,Narsipatnam_LH,Anakapalli,,,Andhra Pradesh,Rural,198,3.852001989,3.8073145640000003,4,0.044687425,0.004067157,0.039396949,0,0,0.001223319,0,0,0,0.044687425,0.011601090842531235,0.001223319,0.00031758005408444247,
9,APMP0157,Anakapalli_LH,Anakapalli,,,Andhra Pradesh,Urban,122,3.181063394,2.9813160890000003,11,0.199747305,0.065752935,0.0011960739999999999,0.089320117,0.039122387,0.0028861299999999998,0.001469662,0,0,0.199747305,0.0627926200328971,0.043478179000000006,0.013667812808134186,
10,APJLG0452,Rayadurgam_JLG,Anantapur,,,Andhra Pradesh,Rural,560,2.0269433980000002,2.0269433980000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,APJLG0453,Tadipatri_JLG,Anantapur,,,Andhra Pradesh,Rural,316,1.162612418,1.162612418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,APJLG0456,Guntakal_JLG,Anantapur,,,Andhra Pradesh,Urban,309,1.125959156,1.125959156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,APKL0019,Anantapur_KL,Anantapur,,,Andhra Pradesh,Urban,1773,16.3194502,15.353181699999999,127,0.9662685,0.2845105,0.6563552,0.0254028,0,0,0,0,0,0.9662685,0.05920962337321879,0,0,
14,APKL0056,Anantapur-2_KL,Anantapur,,,Andhra Pradesh,Urban,1735,18.0086834,16.578269499999998,117,1.4304139,0.5834478,0.8247337,0.0222324,0,0,0,0,0,1.4304139,0.07942912139818062,0,0,
15,APKL0057,Kalyanadurgam_KL,Anantapur,,,Andhra Pradesh,Rural,2203,15.2224111,13.8798154,174,1.3425956999999997,0.6180494,0.7138855,0.0106608,0,0,0,0,0,1.3425956999999997,0.088198623147157,0,0,
16,APKL0102,Tadipatri_KL,Anantapur,,,Andhra Pradesh,Rural,1640,13.4881264,12.4801897,108,1.0079367000000001,0.4761733,0.5317634,0,0,0,0,0,0,1.0079367000000001,0.07472770272971345,0,0,
17,APKL0120,Pamidi_KL,Anantapur,,,Andhra Pradesh,Rural,1356,9.6486381,8.5962161,119,1.0524220000000002,0.5953583,0.4550073,0.0020564,0,0,0,0,0,1.0524220000000002,0.10907466826846789,0,0,
18,APKL0172,Gooty_KL,Anantapur,,,Andhra Pradesh,Rural,1421,13.8278447,13.0011186,107,0.8267261,0.2135044,0.6132217,0,0,0,0,0,0,0.8267261,0.05978705416036384,0,0,
19,APKL0173,Rayadurgam_KL,Anantapur,,,Andhra Pradesh,Rural,1933,9.4593146,8.7693896,130,0.689925,0.2641907,0.4229562,0.0027781,0,0,0,0,0,0.689925,0.07293604549319038,0,0,
20,APKL0179,Guntakal_KL,Anantapur,,,Andhra Pradesh,Urban,3863,27.2179977,24.6268174,303,2.5911803,1.2206575,1.3561631,0.0143597,0,0,0,0,0,2.5911803,0.09520098901323663,0,0,
21,APKL0206,Uravakonda_KL,Anantapur,,,Andhra Pradesh,Rural,3246,21.6828563,19.315177900000002,272,2.3676784,0.8293237,1.5383547,0,0,0,0,0,0,2.3676784,0.10919587194792228,0,0,
22,APKL0209,Puttaparthi_KL,Anantapur,,,Andhra Pradesh,Rural,526,3.694539,3.6359101,11,0.0586289,0.0364446,0.0221843,0,0,0,0,0,0,0.0586289,0.01586907053897658,0,0,
23,APKL0338,Penukonda_KL,Anantapur,,,Andhra Pradesh,Rural,532,3.8881226,3.7819962,8,0.10612640000000001,0.0801395,0.0259869,0,0,0,0,0,0,0.10612640000000001,0.02729502408180236,0,0,
24,APKL0339,Narpala_KL,Anantapur,,,Andhra Pradesh,Rural,967,5.4214003,5.2470884,35,0.1743119,0.0997573,0.0745546,0,0,0,0,0,0,0.1743119,0.03215256028963587,0,0,
25,APKL0370,Guntakal-2_KL,Anantapur,,,Andhra Pradesh,Rural,978,7.7782641,7.2156685000000005,63,0.5625956,0.4343584,0.1282372,0,0,0,0,0,0,0.5625956,0.07232919746193754,0,0,
26,APMP0130,Anantapur_LH,Anantapur,,,Andhra Pradesh,Urban,219,1.3363972929999999,1.0602150469999998,40,0.276182246,0.185656778,0.024149625,0.018644245,0.013779244,0.005756489,0.028195865000000004,0,0,0.276182246,0.20666178197653687,0.047731598,0.03571662278127647,
27,APMP0164,Rayadurgam_LH,Anantapur,,,Andhra Pradesh,Urban,236,4.49242871,4.49242871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28,APMP0260,Guntakal_LH,Anantapur,,,Andhra Pradesh,Urban,291,5.097145115,4.9569587649999995,18,0.14018635000000002,0.011995544,0.007410553,0.011202730000000001,0.08729783399999999,0.011311694,0.010967995,0,0,0.14018635000000002,0.02750291522747828,0.10957752299999998,0.021497822904341615,
29,APJLG0291,Madanapalle_JLG,Annamayya,,,Andhra Pradesh,Urban,2875,7.73016929499995,7.23066057099995,167,0.49950872399999996,0.369796923,0.065170419,0.036902172999999996,0.027639209,0,0,0,0,0.49950872399999996,0.06461808337407224,0.027639209,0.0035754985363487023,
30,APJLG0356,Piler_JLG,Annamayya,,,Andhra Pradesh,Rural,1677,5.3721351670000095,5.0477168620000095,88,0.324418305,0.141515518,0.138924199,0.043978588,0,0,0,0,0,0.324418305,0.06038908086171009,0,0,
31,APJLG0401,Rayachoti_JLG,Annamayya,,,Andhra Pradesh,Urban,907,2.938769014,2.938769014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
32,APKL0009,Rayachoti_KL,Annamayya,,,Andhra Pradesh,Rural,1553,9.0881948,8.3133215,121,0.7748733,0.3015548,0.4733185,0,0,0,0,0,0,0.7748733,0.0852615197024606,0,0,
33,APKL0010,Madanapalle_KL,Annamayya,,,Andhra Pradesh,Urban,1477,15.0351501,13.852858399999999,103,1.1822917,0.554591,0.6277007,0,0,0,0,0,0,1.1822917,0.07863517770933327,0,0,
34,APKL0018,Kalikiri_KL,Annamayya,,,Andhra Pradesh,Rural,761,3.1154678,2.8746592,61,0.24080859999999998,0.0647835,0.1459739,0.0300512,0,0,0,0,0,0.24080859999999998,0.07729452379511031,0,0,
35,APKL0047,Piler_KL,Annamayya,,,Andhra Pradesh,Rural,1014,6.2585655,5.399640399999999,109,0.8589251000000001,0.2125474,0.6372214,0.0091563,0,0,0,0,0,0.8589251000000001,0.1372399314187892,0,0,
36,APKL0082,B Kothakota_KL,Annamayya,,,Andhra Pradesh,Rural,1267,6.0163476,5.338947899999999,119,0.6773997,0.2492183,0.4022181,0.0259633,0,0,0,0,0,0.6773997,0.11259317862551693,0,0,
37,APKL0085,T Sundupalle_KL,Annamayya,,,Andhra Pradesh,Rural,2563,15.9824159,14.268642,261,1.7137739,0.8984766,0.813079,0.0022183,0,0,0,0,0,1.7137739,0.10722871377661998,0,0,
38,APKL0400,Galiveedu_KL,Annamayya,,,Andhra Pradesh,Rural,427,3.3369252,3.2592529,8,0.0776723,0.0776723,0,0,0,0,0,0,0,0.0776723,0.023276608058220783,0,0,
39,APMP0128,Madanapalle_LH,Annamayya,,,Andhra Pradesh,Urban,379,1.9597811239999998,1.723245566,59,0.236535558,0.045356095,0.025432635000000002,0.031699336,0.026374740999999997,0.09234964200000001,0.015323109,0,0,0.236535558,0.12069488531312134,0.134047492,0.06839921578916075,
40,APJLG0225,Bapatla_JLG,Bapatla,,,Andhra Pradesh,Urban,2596,4.294512826999981,3.7805618489999806,299,0.513950978,0.232388433,0.14350716200000002,0.090263157,0.047792226,0,0,0,0,0.513950978,0.11967620046882732,0.047792226,0.011128672314011047,
41,APJLG0228,Cherukupalli_JLG,Bapatla,,,Andhra Pradesh,Rural,1858,2.93420815800001,2.08259662200001,481,0.8516115360000001,0.295488286,0.217667742,0.179358705,0.159096803,0,0,0,0,0.8516115360000001,0.290235555946538,0.159096803,0.05422137572831309,
42,APJLG0270,Repalle_JLG,Bapatla,,,Andhra Pradesh,Rural,2171,4.4807467787,2.1976635927000006,964,2.283083186,0.76068315,0.646820861,0.436662794,0.43891638099999997,0,0,0,0,2.283083186,0.5095318478725529,0.43891638099999997,0.09795607801058172,
43,APJLG0306,Chandole_JLG,Bapatla,,,Andhra Pradesh,Rural,1515,2.778213785,2.1764200160000002,291,0.601793769,0.255723595,0.17810476,0.127127245,0.040838169,0,0,0,0,0.601793769,0.21661175689544712,0.040838169,0.01469943357868696,
44,APJLG0332,Martur_JLG,Bapatla,,,Andhra Pradesh,Rural,1987,4.77057334299999,3.57977851199999,488,1.1907948309999998,0.343999888,0.30979381899999997,0.316102357,0.220898767,0,0,0,0,1.1907948309999998,0.24961251937302043,0.220898767,0.04630444835821078,
45,APJLG0455,Vetapalem_JLG,Bapatla,,,Andhra Pradesh,Rural,1456,2.9585671239999902,2.6930453599999904,124,0.26552176400000005,0.114364403,0.062281304,0.055603327,0.03327273,0,0,0,0,0.26552176400000005,0.08974674322785482,0.03327273,0.01124623123473879,
46,APKL0028,Cherukupalli_KL,Bapatla,,,Andhra Pradesh,Rural,2082,9.4196124,7.4830386,281,1.9365738000000001,0.4902069,1.4443125,0.0020544,0,0,0,0,0,1.9365738000000001,0.20558954209198674,0,0,
47,APKL0033,Addanki_KL,Bapatla,,,Andhra Pradesh,Rural,2171,12.6378308,11.039440299999999,244,1.5983904999999998,0.619259,0.9379253,0.0412062,0,0,0,0,0,1.5983904999999998,0.12647664977442172,0,0,
48,APKL0036,Repalle_KL,Bapatla,,,Andhra Pradesh,Rural,1542,6.9897135,6.3884865,113,0.601227,0.1686262,0.4019898,0.030611,0,0,0,0,0,0.601227,0.08601597189927741,0,0,
49,APKL0037,Karlapalem_KL,Bapatla,,,Andhra Pradesh,Rural,2484,14.2873388,13.0012149,221,1.2861238999999998,0.3858311,0.8833886,0.0169042,0,0,0,0,0,1.2861238999999998,0.0900184364634791,0,0,
50,APKL0040,Kolluru_KL,Bapatla,,,Andhra Pradesh,Rural,1723,9.0082435,7.719837000000001,189,1.2884065,0.4893367,0.7990698,0,0,0,0,0,0,1.2884065,0.1430252745721183,0,0,
51,APKL0092,Medarametla_KL,Bapatla,,,Andhra Pradesh,Rural,1565,8.2193837,7.6151727,111,0.604211,0.3183289,0.2809154,0.0049667,0,0,0,0,0,0.604211,0.07351049933342327,0,0,
52,APKL0155,Chirala_KL,Bapatla,,,Andhra Pradesh,Urban,1700,9.7967888,8.4448196,181,1.3519691999999999,0.3804565,0.9431115,0.0284012,0,0,0,0,0,1.3519691999999999,0.13800126016802566,0,0,
