Keertana Finserv Private Limited ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Portfolio Cuts as on 31 May 2024,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Branchwise Break-up ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
SN,Branch Code,Branch Name,District,State,Branch Classification Rural / Urban,Number of Active Loans,"Principal Outstanding of Active Loans
(In Crs)",Standard Portfolio with 0 DPD,No of loans in arrears,No of loans written off,"Write offs in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30 DPD Loans Outstanding ,31-60 DPD Loans Oustatnding,61-90 DPD Loans Oustatnding,91 to 120 DPD Loans Oustatnding,121-150 DPD Loans Outstanding,151-180 DPD Loans Outstanding,181-365 DPD Loans Outstanding,>365 DPD Loans Ousttanding,PAR >0 days,% of  PAR >0 days,PAR >90days,% of PAR >90 days
1,SRJLG0012,KD Peta,Visakhapatnam,Andhra Pradesh,Rural,1688,4.827249409,4.827249409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,APKL0033,Addanki_KL,Bapatla,Andhra Pradesh,Urban,1624,10.6273763,10.6273763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,APJLG0244,Amaravathi_JLG,Palnadu,Andhra Pradesh,Urban,3087,12.07788348,12.07788348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,APKL0019,Anantapur_KL,Anantapur,Andhra Pradesh,Urban,1270,11.3383564,11.3383564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,APKL0050,Annavaram_KL,Kakinada,Andhra Pradesh,Rural,850,4.3893384,4.3893384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,APMP0095,Annavaram_LH,Kakinada,Andhra Pradesh,Rural,319,1.455194325,1.4117841549999999,6,0,0,0.04341017,0,0.036026668,0.007383502,0,0,0,0,0,0.04341017,0.029831184230326078,0,0
7,APJLG0271,Atchutapuram_JLG,Anakapalle,Andhra Pradesh,Rural,1044,4.65005036000001,4.60984241600001,8,0,0,0.040207944,0.019772195000000003,0.015147748999999999,0.005288,0,0,0,0,0,0.040207944,0.00864677603190515,0,0
8,APKL0059,Atmakur_KL,Nandyal,Andhra Pradesh,Rural,1434,8.2728003,8.2728003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,APJLG0198,Attili_JLG,West Godavari,Andhra Pradesh,Rural,1763,6.1456803429999995,6.12788724,4,0,0,0.017793102999999998,0.002918129,0,0.009909356,0.004965618,0,0,0,0,0.017793102999999998,0.00289522103444032,0.004965618,0.0008079850761609975
10,APJLG0225,Bapatla_JLG,Bapatla,Andhra Pradesh,Urban,3543,9.95754707400007,9.91937040500007,12,0,0,0.038176669,0.002762136,0.004405435,0.009855210000000001,0.007040853,0.014113035000000001,0,0,0,0.038176669,0.0038339431103150147,0.021153888000000003,0.002124407531573157
11,APMP0158,Bapatla_LH,Bapatla,Andhra Pradesh,Urban,425,5.2702755670000005,5.216671245000001,1,0,0,0.053604321999999996,0,0,0,0,0,0,0.053604321999999996,0,0.053604321999999996,0.010171066259921051,0.053604321999999996,0.010171066259921051
12,APKL0006,Chittoor_KL,Chittoor,Andhra Pradesh,Urban,1626,8.9459082,8.9459082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,APJLG0330,Dwarapudi_JLG,East Godavari,Andhra Pradesh,Rural,1483,5.362301277,5.357751486000001,2,0,0,0.004549791,0.004549791,0,0,0,0,0,0,0,0.004549791,0.0008484773169152167,0,0
14,APKL0167,Gorantla_KL ,Sri Sathya Sai,Andhra Pradesh,Rural,1682,12.6898682,12.6898682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,TSJLG0223,Huzurnagar_JLG,Suryapet,Telangana,rural,2014,6.08904321699999,5.94766021399999,51,0,0,0.141383003,0.037002768,0.070365172,0.021703988,0.008914447,0.003396628,0,0,0,0.141383003,0.023219247747375653,0.012311075000000001,0.0020218406342771113
16,APJLG0235,Ibrahimpatnam_JLG,NTR,Andhra Pradesh,Rural,3197,11.9612328350001,11.8373120500001,31,0,0,0.12392078500000002,0.072300087,0.031568994,0.011736667999999999,0.004106169000000001,0.004208867,0,0,0,0.12392078500000002,0.010360201720795194,0.008315036000000001,0.000695165466194182
