Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,Active Loans Summary,,,
,Month,No. of active loans,No. of loans in OD (≥ 1 DPD),% loans in OD
,2024-01-01 00:00:00,274631,151,0.0005498286792095576
,2024-02-01 00:00:00,295929,278,0.0009394145217264952
,2024-03-01 00:00:00,325772,379,0.0011633903466227915
,2024-04-01 00:00:00,346069,659,0.0019042445292701744
,,,,
,Portfolio Quality Summary,,,
,Month,Total Principal OS (in crs),Total PAR (≥ 1 DPD) (in crs),PAR %
,2024-01-01 00:00:00,1276.8271228101987,1.27,0.0009946530562452553
,2024-02-01 00:00:00,1373.1657377853996,2.12,0.0015438777284226973
,2024-03-01 00:00:00,1567.0686609208003,2.69,0.001716580815558759
,2024-04-01 00:00:00,1747.758821690599,3.762173054,0.0021525699125700118
