Keertana Finserv Private Limited ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Portfolio Cuts as on 30 Nov 2024,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Branchwise Break-up ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
SN,Branch Code,Branch Name,District,State,Branch Classification Rural / Urban,Number of Active Loans,"Principal Outstanding of Active Loans
(In Crs)",Standard Portfolio with 0 DPD,No of loans in arrears,No of loans written off,"Write offs in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30 DPD Loans Outstanding ,31-60 DPD Loans Oustatnding,61-90 DPD Loans Oustatnding,91 to 120 DPD Loans Oustatnding,121-150 DPD Loans Outstanding,151-180 DPD Loans Outstanding,181-365 DPD Loans Outstanding,>365 DPD Loans Ousttanding,PAR >0 days,% of  PAR >0 days,PAR >90days,% of PAR >90 days
1,APJLG0271,Atchutapuram_JLG,Anakapalli,Andhra Pradesh,Rural,1210,3.8200726229,3.6430263909000002,45,0,0,0.177046232,0.09253810999999999,0.046038725,0.029817551,0.008651846000000001,0,0,0,0,0.177046232,0.04634630005164554,0.008651846000000001,0.002264838094473704
2,APJLG0272,Chodavaram_JLG,Anakapalli,Andhra Pradesh,Rural,2268,7.25621425699999,7.24109366799999,4,0,0,0.015120589,0.0074850559999999995,0.007635533,0,0,0,0,0,0,0.015120589,0.002083812366126501,0,0
3,APJLG0349,Narsipatnam_JLG,Anakapalli,Andhra Pradesh,Urban,619,2.05249492,2.048094514,1,0,0,0.004400406,0.004400406,0,0,0,0,0,0,0,0.004400406,0.0021439302758420467,0,0
4,APKL0094,Narsipatnam_KL,Anakapalli,Andhra Pradesh,Urban,1398,5.9750471,5.9750471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,APKL0174,Anakapalli_KL,Anakapalli,Andhra Pradesh,Urban,759,5.9658895,5.9658895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,APKL0383,Atchutapuram_KL,Anakapalli,Andhra Pradesh,Rural,307,1.9929362,1.9929362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,APKL0397,Addaroad_KL,Anakapalli,Andhra Pradesh,Rural,16,0.1009642,0.1009642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
