Keertana Finserv Private Limited ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Portfolio Cuts as on 31 Oct 2024,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Branchwise Break-up ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
SN,Branch Code,Branch Name,District,State,Branch Classification Rural / Urban,Number of Active Loans,"Principal Outstanding of Active Loans
(In Crs)",Standard Portfolio with 0 DPD,No of loans in arrears,No of loans written off,"Write offs in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30 DPD Loans Outstanding ,31-60 DPD Loans Oustatnding,61-90 DPD Loans Oustatnding,91 to 120 DPD Loans Oustatnding,121-150 DPD Loans Outstanding,151-180 DPD Loans Outstanding,181-365 DPD Loans Outstanding,>365 DPD Loans Ousttanding,PAR >0 days,% of  PAR >0 days,PAR >90days,% of PAR >90 days
1,APJLG0266,P.Gannavaram_JLG,Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,Rural,2590,8.30520578699999,8.176415072999989,34,0,0,0.128790714,0.086229471,0.038684238,0.003877005,0,0,0,0,0,0.128790714,0.015507227310561542,0,0
2,APJLG0271,Atchutapuram_JLG,Anakapalli,Andhra Pradesh,Rural,1213,4.0466894289,3.9222861268999996,30,0,0,0.124403302,0.076906884,0.038844571999999994,0.008651846000000001,0,0,0,0,0,0.124403302,0.030741993964635974,0,0
3,APJLG0272,Chodavaram_JLG,Anakapalli,Andhra Pradesh,Rural,2253,7.599001134999999,7.586778228999999,3,0,0,0.012222906,0.012222906,0,0,0,0,0,0,0,0.012222906,0.0016084885082728708,0,0
4,APJLG0349,Narsipatnam_JLG,Anakapalli,Andhra Pradesh,Urban,616,2.1480256989999997,2.1480256989999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,APKL0094,Narsipatnam_KL,Anakapalli,Andhra Pradesh,Urban,1286,5.5629465,5.5629465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,APKL0174,Anakapalli_KL,Anakapalli,Andhra Pradesh,Urban,686,5.3948431,5.3948431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,APMP0096,Narsipatnam_LH,Anakapalli,Andhra Pradesh,Urban,301,4.067017591,4.058499442,3,0,0,0.008518149,0,0.000633277,0.00559253,0,0,0.0022923419999999997,0,0,0.008518149,0.0020944460675188653,0.0022923419999999997,0.0005636420174510132
8,APMP0157,Anakapalli_LH,Anakapalli,Andhra Pradesh,Urban,153,2.766671846,2.756592145,4,0,0,0.010079701,0.005064493,0.005015208,0,0,0,0,0,0,0.010079701,0.0036432586013310665,0,0
9,APKL0019,Anantapur_KL,Anantapur,Andhra Pradesh,Urban,1488,11.6708988,11.6432442,2,0,0,0.0276546,0,0.0276546,0,0,0,0,0,0,0.0276546,0.002369534726836977,0,0
10,APKL0056,Anantapur-2_KL,Anantapur,Andhra Pradesh,Urban,1352,10.6457219,10.6057974,4,0,0,0.0399245,0,0.0282853,0.0116392,0,0,0,0,0,0.0399245,0.003750285830780532,0,0
11,APKL0057,Kalyanadurgam_KL,Anantapur,Andhra Pradesh,Rural,1952,13.4626238,13.4164307,1,0,0,0.0461931,0,0.0461931,0,0,0,0,0,0,0.0461931,0.003431210786711577,0,0
12,APKL0102,Tadipatri_KL,Anantapur,Andhra Pradesh,Urban,1139,8.8457858,8.8457858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,APKL0120,Pamidi_KL,Anantapur,Andhra Pradesh,Rural,1084,7.1697069,7.167391100000001,3,0,0,0.0023158,0,0.0023158,0,0,0,0,0,0,0.0023158,0.00032299786201859935,0,0
14,APKL0172,Gooty_KL,Anantapur,Andhra Pradesh,Rural,1204,10.674137,10.4730128,7,0,0,0.2011242,0,0.1462072,0.054917,0,0,0,0,0,0.2011242,0.01884219773458032,0,0
15,APKL0173,Rayadurgam_KL,Anantapur,Andhra Pradesh,Urban,1390,6.8331844,6.8331844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,APKL0179,Guntakal_KL,Anantapur,Andhra Pradesh,Urban,3324,22.5066788,22.4870605,5,0,0,0.0196183,0,0.0196183,0,0,0,0,0,0,0.0196183,0.0008716657030712146,0,0
17,APKL0206,Uravakonda_KL,Anantapur,Andhra Pradesh,Rural,2433,14.4293113,14.4293113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,APKL0209,Puttaparthi_KL,Anantapur,Andhra Pradesh,Rural,182,0.8470036,0.8470036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,APKL0338,Penukonda_KL,Anantapur,Andhra Pradesh,Rural,167,1.3791579,1.3791579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,APKL0339,Narpala_KL,Anantapur,Andhra Pradesh,Rural,491,2.217233,2.2079277999999998,1,0,0,0.0093052,0,0.0093052,0,0,0,0,0,0,0.0093052,0.004196762361014832,0,0
21,APKL0370,Guntakal-2_KL,Anantapur,Andhra Pradesh,Urban,394,2.5360635,2.5360635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,APMP0130,Anantapur_LH,Anantapur,Andhra Pradesh,Urban,329,1.723443432,1.5973933710000001,37,0,0,0.12605006100000002,0.046783862,0.031704077000000004,0.009865489,0.02077292,0.016923713,0,0,0,0.12605006100000002,0.07313849625671962,0.037696633,0.02187285773357486
23,APMP0164,Rayadurgam_LH,Anantapur,Andhra Pradesh,Urban,225,3.0492828949999997,3.0492828949999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
