Keertana Finserv Private Limited ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
Portfolio Cuts as on 31 Sep 2024,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Branchwise Break-up ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
SN,Branch Code,Branch Name,District,State,Branch Classification Rural / Urban,Number of Active Loans,"Principal Outstanding of Active Loans
(In Crs)",Standard Portfolio with 0 DPD,No of loans in arrears,No of loans written off,"Write offs in the quarter 
(In Crs)","Total PAR 
(In Crs)",1-30 DPD Loans Outstanding ,31-60 DPD Loans Oustatnding,61-90 DPD Loans Oustatnding,91 to 120 DPD Loans Oustatnding,121-150 DPD Loans Outstanding,151-180 DPD Loans Outstanding,181-365 DPD Loans Outstanding,>365 DPD Loans Ousttanding,PAR >0 days,% of  PAR >0 days,PAR >90days,% of PAR >90 days
1,APJLG0266,P.Gannavaram_JLG,Ambedkar konaseem,Andhra Pradesh,Rural,2563,8.639201871999989,8.528069886999988,29,0,0,0.111131985,0.102070676,0.009061309,0,0,0,0,0,0,0.111131985,0.012863686558845601,0,0
2,APJLG0271,Atchutapuram_JLG,Anakapalli,Andhra Pradesh,Rural,1214,4.27147059690001,4.17029889890001,24,0,0,0.101171698,0.07910484200000001,0.022066856,0,0,0,0,0,0,0.101171698,0.023685448771068367,0,0
3,APJLG0272,Chodavaram_JLG,Anakapalli,Andhra Pradesh,Rural,2238,7.942008051999999,7.942008051999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,APJLG0349,Narsipatnam_JLG,Anakapalli,Andhra Pradesh,Rural,590,2.1430288120000003,2.1430288120000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,APKL0094,Narsipatnam_KL,Anakapalli,Andhra Pradesh,Rural,1232,5.1393967,5.1393967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,APKL0174,Anakapalli_KL,Anakapalli,Andhra Pradesh,Urban,679,5.0977127,5.0977127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,APMP0096,Narsipatnam_LH,Anakapalli,Andhra Pradesh,Rural,323,4.043015029,4.029254986,4,0,0,0.013760043,0.005875171,0.00559253,0.0022923419999999997,0,0,0,0,0,0.013760043,0.003403411291153031,0,0
8,APMP0157,Anakapalli_LH,Anakapalli,Andhra Pradesh,Urban,156,2.8372727699999998,2.831235653,2,0,0,0.006037117,0.0027864540000000003,0,0.003250663,0,0,0,0,0,0.006037117,0.0021277887215616566,0,0
9,APKL0019,Anantapur_KL,Anantapur,Andhra Pradesh,Urban,1494,11.5283842,11.4956446,2,0,0,0.0327396,0,0.0327396,0,0,0,0,0,0,0.0327396,0.0028399122923054563,0,0
10,APKL0056,Anantapur-2_KL,Anantapur,Andhra Pradesh,Urban,1391,10.5461939,10.4695658,12,0,0,0.0766281,0,0.0766281,0,0,0,0,0,0,0.0766281,0.00726594833421373,0,0
11,APKL0057,Kalyanadurgam_KL,Anantapur,Andhra Pradesh,Rural,1915,13.9085507,13.9085507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,APKL0102,Tadipatri_KL,Anantapur,Andhra Pradesh,Rural,1085,8.4343181,8.4343181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,APKL0120,Pamidi_KL,Anantapur,Andhra Pradesh,Rural,1100,7.0239484,7.0239484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,APKL0172,Gooty_KL,Anantapur,Andhra Pradesh,Rural,1249,10.8230023,10.768085300000001,3,0,0,0.054917,0,0.054917,0,0,0,0,0,0,0.054917,0.00507410037231536,0,0
15,APKL0173,Rayadurgam_KL,Anantapur,Andhra Pradesh,Rural,1364,6.4615312,6.4615312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,APKL0179,Guntakal_KL,Anantapur,Andhra Pradesh,Rural,3182,22.08643,22.0203057,4,0,0,0.0661243,0,0.0661243,0,0,0,0,0,0,0.0661243,0.002993888102332518,0,0
