Loan product,borrowers,No of Loans,Outstanding Princiapl,No of OD Loans,1-30,31-60,61-90,91-120,121-150,151-180,181-365,>365,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
MSME - Business Loans,10925,10927,561379836.42,284,829520.92,6550403.16,3414782.29,2725595.4,1685542.08,878291.52,963382.15,0,,,,,,,
PL-UnSecured ,42931,73319,784995694.93,0,0,0,0,0,0,0,0,0,,,,,,,
Home Loan,1201,1201,545926582.86,2,2208962.7,0,0,0,0,0,0,0,,,,,,,
Consumer Loans,4174,4301,23068728.4,23,68750,60850,3030,5720,0,12000,1600,0,,,,,,,
Group Loans,175771,182988,6825195119.19461,781,11981614.32,7282935.92,2501080.07,1441112.29,989741.89,200853.54,362640.96,367410.08,,,,,,,
LAP,972,972,500929159.93,28,1242683.11,1981852.65,4042791.5,2686930.96,868211.02,791940.55,884165.53,0,,,,,,,
Gold Loans,52613,89710,9273404527.699,1,0,0,0,0,307605.01,0,0,0,,,,,,,
Corporate Loans,1,3,32725531.99,0,0,0,0,0,0,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,10000000,,,,,,,,,,,,,,,
DISBLTV,LTV Tag,No of Loans,borrowers,Outstanding Princiapl,No of OD Loans,1930-01-01 00:00:00,31-60,61-90,91-120,121-150,151-180,181-365,>365,,,,,,LTV
22,<50,11,11,1248081.9,0,0,0,0,0,0,0,0,0,,,,,0.0,<50
35,<50,47,47,5400176.19,0,0,0,0,0,0,0,0,0,,,,,50.0001,50-60
58,50-60,49,45,17541949.27,0,0,0,0,0,0,0,0,0,,,,,60.0001,60-70
14,<50,9,9,107536,0,0,0,0,0,0,0,0,0,,,,,70.0001,70-75
21,<50,10,10,934417.43,0,0,0,0,0,0,0,0,0,,,,,75.0001,75-80
72,70-75,1111,1089,99901823.66,0,0,0,0,0,0,0,0,0,,,,,80.0001,80-85
29,<50,5,5,1647632.69,0,0,0,0,0,0,0,0,0,,,,,,No LTV
49,<50,105,102,10361875.39,0,0,0,0,0,0,0,0,0,,,,,,
57,50-60,133,133,5205796,0,0,0,0,0,0,0,0,0,,,,,,
69,60-70,566,563,45483040.9,2,376828.17,0,382424.59,0,0,0,0,0,,,,,,
13,<50,3,3,28116,0,0,0,0,0,0,0,0,0,,,,,,
28,<50,25,25,428671,0,0,0,0,0,0,0,0,0,,,,,,
46,<50,98,96,14276609.33,1,0,0,353535.79,0,0,0,0,0,,,,,,
74,70-75,3235,2967,325044061.05,1,0,0,462033.63,0,0,0,0,0,,,,,,
36,<50,45,44,6023524.34,0,0,0,0,0,0,0,0,0,,,,,,
44,<50,87,86,11556153.43,0,0,0,0,0,0,0,0,0,,,,,,
1,<50,4,4,148818,0,0,0,0,0,0,0,0,0,,,,,,
10,<50,2,2,72197,0,0,0,0,0,0,0,0,0,,,,,,
29,<50,33,33,563764,0,0,0,0,0,0,0,0,0,,,,,,
34,<50,38,38,4836145.25,0,0,0,0,0,0,0,0,0,,,,,,
57,50-60,37,33,10279013.87,0,0,0,0,0,0,0,0,0,,,,,,
55,50-60,103,90,37513368.72,2,544589.25,0,0,0,0,536043.22,0,0,,,,,,
16,<50,3,3,35060,0,0,0,0,0,0,0,0,0,,,,,,
252,70-75,1,1,14076,0,0,0,0,0,0,0,0,0,,,,,,
48,<50,134,126,25429634.52,1,0,0,0,0,345197.11,0,0,0,,,,,,
58,50-60,176,172,6901841.609,0,0,0,0,0,0,0,0,0,,,,,,
67,60-70,498,490,50748990.89,0,0,0,0,0,0,0,0,0,,,,,,
78,70-75,3,3,54396,0,0,0,0,0,0,0,0,0,,,,,,
8,<50,2,2,35204,0,0,0,0,0,0,0,0,0,,,,,,
23,<50,17,17,1803732.47,0,0,0,0,0,0,0,0,0,,,,,,
56,50-60,138,137,4118969,0,0,0,0,0,0,0,0,0,,,,,,
80,70-75,3,3,340,0,0,0,0,0,0,0,0,0,,,,,,
-1,No LTV,261005,225669,8171267946.24666,638,11682690.08,4925637.34,5228540.48,2802346.1,1813145.41,336617.11,652093.86,367410.08,,,,,,
26,<50,19,19,2086669.85,0,0,0,0,0,0,0,0,0,,,,,,
43,<50,122,106,25877672.79,0,0,0,0,0,0,0,0,0,,,,,,
68,60-70,496,489,36858658.16,0,0,0,0,0,0,0,0,0,,,,,,
19,<50,13,13,158614,0,0,0,0,0,0,0,0,0,,,,,,
41,<50,77,75,7508964.28,0,0,0,0,0,0,0,0,0,,,,,,
64,60-70,326,323,25502874.8,0,0,0,0,0,0,0,0,0,,,,,,
17,<50,9,9,129829,0,0,0,0,0,0,0,0,0,,,,,,
37,<50,44,44,4181063.23,0,0,0,0,0,0,0,0,0,,,,,,
60,50-60,282,269,42140435.67,2,759427.95,0,0,0,0,0,0,0,,,,,,
4,<50,1,1,100345,0,0,0,0,0,0,0,0,0,,,,,,
40,<50,71,69,14378725.86,0,0,0,0,0,0,0,0,0,,,,,,
52,50-60,127,120,14211800.64,0,0,0,0,0,0,0,0,0,,,,,,
75,70-75,68905,41363,7537492712.52,0,0,0,0,0,0,0,0,0,,,,,,
86,70-75,1,1,108552,0,0,0,0,0,0,0,0,0,,,,,,
33,<50,33,32,3817835.33,0,0,0,0,0,0,0,0,0,,,,,,
56,50-60,58,51,25257319.88,3,875832.67,0,0,307605.01,0,0,0,0,,,,,,
83,70-75,1,1,140,0,0,0,0,0,0,0,0,0,,,,,,
25,<50,21,21,3190347.9,0,0,0,0,0,0,0,0,0,,,,,,
88,70-75,1,1,20109,0,0,0,0,0,0,0,0,0,,,,,,
0,<50,9,5,599371,0,0,0,0,0,0,0,0,0,,,,,,
11,<50,4,4,47116,0,0,0,0,0,0,0,0,0,,,,,,
38,<50,55,54,7418994.78,0,0,0,0,0,0,0,0,0,,,,,,
61,60-70,241,229,17620927.26,1,0,0,0,0,0,0,348122.31,0,,,,,,
7,<50,1,1,10077,0,0,0,0,0,0,0,0,0,,,,,,
15,<50,6,6,52650,0,0,0,0,0,0,0,0,0,,,,,,
54,50-60,167,159,21492835.02,1,0,0,0,547112.26,0,0,0,0,,,,,,
18,<50,5,5,45376,0,0,0,0,0,0,0,0,0,,,,,,
71,70-75,857,838,77768018.51,1,0,0,781344.01,0,0,0,0,0,,,,,,
12,<50,2,2,22535,0,0,0,0,0,0,0,0,0,,,,,,
42,<50,89,86,14678738.85,0,0,0,0,0,0,0,0,0,,,,,,
66,60-70,427,423,26488518.9,0,0,0,0,0,0,0,0,0,,,,,,
59,50-60,213,205,23987887.63,0,0,0,0,0,0,0,0,0,,,,,,
65,60-70,568,523,98933945.9200001,2,695665.6,0,0,0,0,0,0,0,,,,,,
27,<50,23,23,3505824.43,0,0,0,0,0,0,0,0,0,,,,,,
45,<50,112,108,17107826.53,0,0,0,0,0,0,0,0,0,,,,,,
24,<50,14,13,1349066.26,0,0,0,0,0,0,0,0,0,,,,,,
39,<50,54,54,6567839.61,0,0,0,0,0,0,0,0,0,,,,,,
62,60-70,294,281,36013181.3,1,602688.89,0,0,0,0,0,0,0,,,,,,
50,<50,200,189,44641399.45,1,0,0,0,0,791940.55,0,0,0,,,,,,
55,50-60,130,130,4087673,0,0,0,0,0,0,0,0,0,,,,,,
82,70-75,4,4,1169,0,0,0,0,0,0,0,0,0,,,,,,
30,<50,41,41,5563394.21,0,0,0,0,0,0,0,0,0,,,,,,
51,50-60,118,117,7659616.77,0,0,0,0,0,0,0,0,0,,,,,,
84,70-75,1,1,50,0,0,0,0,0,0,0,0,0,,,,,,
32,<50,37,36,4581801.35,0,0,0,0,0,0,0,0,0,,,,,,
70,60-70,1049,948,226640506.81,1,0,0,226288.84,0,0,0,0,0,,,,,,
81,70-75,4,4,460,0,0,0,0,0,0,0,0,0,,,,,,
63,60-70,336,325,35859052.23,0,0,0,0,0,0,0,0,0,,,,,,
73,70-75,1440,1400,140002817.8,0,0,0,0,0,0,0,0,0,,,,,,
31,<50,32,32,2076911.74,0,0,0,0,0,0,0,0,0,,,,,,
53,50-60,145,137,15002709.64,1,0,876570.23,0,0,0,0,0,0,,,,,,
77,70-75,3,3,14231,0,0,0,0,0,0,0,0,0,,,,,,
20,<50,11,11,1371730.63,0,0,0,0,0,0,0,0,0,,,,,,
79,70-75,4,4,272995,0,0,0,0,0,0,0,0,0,,,,,,
28,<50,4,4,1543507.28,0,0,0,0,0,0,0,0,0,,,,,,
47,<50,93,91,12695277.66,0,0,0,0,0,0,0,0,0,,,,,,
76,70-75,933,888,19826551.27,0,0,0,0,0,0,0,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Row Labels,Sum of No of Loans,Sum of borrowers,Sum of Outstanding Princiapl,Sum of No of OD Loans,Sum of Jan-30,Sum of 31-60,Sum of 61-90,Sum of 91-120,Sum of 121-150,Sum of 151-180,Sum of 181-365,Sum of >365,,,,,,,
<50,1880,1817,27.024685396000002,3,0,0,0.035353578999999996,0,0.11371376600000002,0,0,0,,,,,,,
50-60,1876,1798,23.5401216719,9,0.21798498700000002,0.087657023,0,0.085471727,0,0.053604321999999996,0,0,,,,,,,
60-70,4801,4594,60.01496971700001,7,0.16751826600000003,0,0.06087134300000001,0,0,0,0.034812231,0,,,,,,,
70-75,76507,48571,820.0522502810002,2,0,0,0.12433776400000002,0,0,0,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,,
No LTV,261005,225669,817.126794624666,638,1.168269008,0.492563734,0.522854048,0.28023461,0.181314541,0.033661711,0.065209386,0.036741008,,,,,,,
Grand Total,346069,282449,1747.7588216905663,659,1.553772261,0.580220757,0.7434167340000001,0.365706337,0.29502830700000005,0.08726603299999999,0.100021617,0.036741008,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
DisbLTV,LTV TAG,No of Loans,borrowers,Outstanding Princiapl,No of OD Loans,1930-01-01 00:00:00,31-60,61-90,91-120,121-150,151-180,181-365,>365,,,,,,
22,<50,15,15,1404442.47,0,0,0,0,0,0,0,0,0,,,,,,
35,<50,52,52,6441436.78,0,0,0,0,0,0,0,0,0,,,,,,
58,50-60,49,45,17318159.4,0,0,0,0,0,0,0,0,0,,,,,,
29,<50,6,6,2696204.48,0,0,0,0,0,0,0,0,0,,,,,,
49,<50,116,113,12311423.25,0,0,0,0,0,0,0,0,0,,,,,,
57,50-60,135,135,5216461,0,0,0,0,0,0,0,0,0,,,,,,
69,60-70,662,654,55189971.1,2,0,0,376828.17,382424.59,0,0,0,0,,,,,,
13,<50,4,4,38194,0,0,0,0,0,0,0,0,0,,,,,,
28,<50,27,27,475981,0,0,0,0,0,0,0,0,0,,,,,,
46,<50,110,107,15436995.04,1,0,0,348987.41,0,0,0,0,0,,,,,,
74,70-75,3550,3291,379475739.46,1,0,0,0,462033.63,0,0,0,0,,,,,,
59,50-60,268,260,27955953.5,0,0,0,0,0,0,0,0,0,,,,,,
65,60-70,596,549,100839158.27,3,57329.58,0,695665.6,0,0,0,0,0,,,,,,
36,<50,49,48,6561925.74,0,0,0,0,0,0,0,0,0,,,,,,
16,<50,3,3,35061,0,0,0,0,0,0,0,0,0,,,,,,
14,<50,11,11,176928,0,0,0,0,0,0,0,0,0,,,,,,
21,<50,11,11,915409.61,0,0,0,0,0,0,0,0,0,,,,,,
72,70-75,1301,1265,118795323.21,1,0,292680.39,0,0,0,0,0,0,,,,,,
1,<50,2,2,143328,0,0,0,0,0,0,0,0,0,,,,,,
10,<50,3,3,143436,0,0,0,0,0,0,0,0,0,,,,,,
29,<50,30,30,613436,0,0,0,0,0,0,0,0,0,,,,,,
34,<50,51,50,5806578.47,0,0,0,0,0,0,0,0,0,,,,,,
